,SNo.,company,amount
0,1,Cairn India Limited,"32,000,000.00"
1,2,Mangalam Cement Ltd,"20,478,000.00"
2,3,Vakrangee Limited,"16,000,000.00"
3,4,Associated Stone Industries (Kotah) Limited,"4,501,000.00"
4,5,Goyal Proteins Limited,"2,515,060.00"
5,6,Vibrant Academy (India) Private Limited,"2,200,000.00"
6,7,Shree Agencies P. Ltd. (Transfrom From Culcutta To Rajasthan,"1,330,934.00"
7,8,Container Corporation Of India Limited,"1,274,000.00"
8,9,Shiv Kumar Sushil Kumar Tea Enterprises Private Limited,"800,000.00"
9,10,Can Fin Homes Limited,"55,800.00"
