,SNo.,company,amount
0,1,Navkar Corporation Limited,"16,287,354.00"
1,2,Greenlam Industries Limited,"3,400,000.00"
2,3,Gabriel India Limited,"3,140,000.00"
3,4,C M Jain Impex And Investments Private Limited,"3,100,000.00"
4,5,Prem Cables Pvt Ltd,"2,300,000.00"
5,6,P G Foils Limited,"1,420,000.00"
6,7,Bhilosa Industries Private Limited,"500,000.00"
7,8,Global Coal And Mining Private Limited,"500,000.00"
8,9,Wolkem India Limited,"394,484.00"
9,10,Anand Automotive Private Limited,"215,000.00"
10,11,Vhm Industries Limited,"200,000.00"
11,12,Mazagon Dock Shipbuilders Limited,0.00
