,SNo.,company,amount
0,1,Secure Meters Limited,"27,250,000.00"
1,2,Desiccant Rotors International Private Limited,"8,397,682.00"
2,3,Rajasthan State Mines And Minerals Ltd,"8,035,528.00"
3,4,V I P Industries Limited,"8,000,000.00"
4,5,Miraj Products Private Limited,"5,103,132.00"
5,6,Aym Syntex Limited,"4,610,000.00"
6,7,Tata Aia Life Insurance Company Limited,"3,708,015.00"
7,8,MoodyS Analytics Knowledge Services (India) Private Limited,"3,657,120.00"
8,9,Marico Limited,"3,600,000.00"
9,10,Choksi Heraeus Private Limited,"3,582,373.00"
10,11,Ecl Finance Limited,"2,522,000.00"
11,12,Anvil Fintrade Private Limited,"2,400,000.00"
12,13,Pacific Industries Limited,"2,150,000.00"
13,14,Molecular Connections Private Limited,"2,000,000.00"
14,15,Rusan Pharma Limited,"2,000,000.00"
15,16,Rites Limited,"1,800,000.00"
16,17,Neelikon Food Dyes And Chemicals Limited,"775,000.00"
17,18,Harmony Plastics Private Limited,"747,586.00"
18,19,Miraj Business Development Private Limited,"746,603.00"
19,20,Target Sourcing Services India Private Limited,"737,282.00"
20,21,Dhanuka Agritech Limited,"711,000.00"
21,22,India Infoline Finance Limited,"600,000.00"
22,23,Hsbc Software Development (India) Private Limited,"480,000.00"
23,24,Utstarcom India Telecom Private Limited,"300,000.00"
24,25,Can Fin Homes Limited,"201,160.00"
25,26,Gandhar Oil Refinery (India) Limited,"200,000.00"
26,27,R S Technologies Private Limited,"111,000.00"
27,28,Ravindra Heraeus Private Limited,"100,000.00"
28,29,Cisco Development India Private Limited,"72,421.00"
29,30,Shrijee Lifestyle Private Limited,"72,000.00"
30,31,Orient Refractories Limited,0.00
31,32,Pyrotech Electronics Pvt. Ltd.,0.00
32,33,Signet Industries Limited,0.00
33,34,Bohra Industries Limited,0.00
34,35,Adroit Industries (India) Limited,0.00
