,SNo.,company,amount
0,1,Nlc India Limited,"104,600,000.00"
1,2,Il&Fs; Tamil Nadu Power Company Limited,"100,100,000.00"
2,3,Taqa Neyveli Power Company Private Limited,"14,900,000.00"
3,4,Lakshmi Machine Works Limited,"5,700,000.00"
4,5,Credit Suisse Finance (India) Private Limited,"5,400,000.00"
5,6,Equitas Micro Finance Limited,"2,700,000.00"
6,7,Credit Suisse Business Analytics (India)  Private Limited,"2,500,000.00"
7,8,Strides Shasun Limited,"2,300,000.00"
8,9,Pharmazell (India) Private Limited,"1,100,000.00"
9,10,Arkema Peroxides India Private Limited,"1,000,000.00"
10,11,National Payments Corporation Of India,"1,000,000.00"
11,12,Best Seller United India Private Limited,"900,000.00"
12,13,Bgr Energy Systems Limited,"900,000.00"
13,14,Tamilnadu Urban Finance And Infrastructure Development Corporation Limited,"700,000.00"
14,15,Clariant Chemicals (India) Limited,"600,000.00"
15,16,Rural Electrification Corporation Limited,"600,000.00"
16,17,Jayem Automotives Private Limited,"500,000.00"
17,18,Ampo Valves India Private Limited,"400,000.00"
18,19,Penguin Apparels Private Limited,"400,000.00"
19,20,E.I.D Parry (India) Limited,"200,000.00"
20,21,Voltamp Transformers Limited,"200,000.00"
21,22,Tulip Renewable Powertech Private Limited,"200,000.00"
22,23,Galax E.Solutions India Private Limited,"100,000.00"
23,24,Kurlon Enterprise Limited,"100,000.00"
24,25,Sundaram Finance Limited,"100,000.00"
25,26,Chennai Radha Engineering Works Private Limited,0.00
26,27,Integra Software Services Private Limited,0.00
27,28,Brembo Brake India Private Limited,0.00
28,29,Space Textiles Private Limited,0.00
