,SNo.,company,amount
0,1,S K M Animal Feeds And Foods (India) Private Limited,"3,200,000.00"
1,2,Skm Egg Products Export India Limited,"3,100,000.00"
2,3,Indian Energy Exchange Limited,"1,700,000.00"
3,4,R.P.P Infra Projects Limited,"1,000,000.00"
4,5,Pon Pure Chemical India Private Limited,"800,000.00"
5,6,Accudyne Industries India Private Limited,"200,000.00"
6,7,Dixcy Textiles Private Limited,"100,000.00"
7,8,K.P.R. Mill Limited,"100,000.00"
8,9,Kovai Medical Center And Hospital Limited,"100,000.00"
9,10,Sakthi Aromatic Masalas Private Limited,0.00
10,11,Sakthi Masala Private Limited,0.00
11,12,Kumaragiri Spinnerss Private Limited,0.00
12,13,Sunraja Oil Industries Private Limited,0.00
13,14,Space Textiles Private Limited,0.00
14,15,Arun Textiles Private Limited,0.00
