,SNo.,company,amount
0,1,Cholamandalam Investment And Finance Company Limited,"5,000,000.00"
1,2,Equitas Micro Finance Limited,"4,700,000.00"
2,3,Multi Commodity Exchange Of India Limited,"3,400,000.00"
3,4,Sail Refractory Company Limited,"3,100,000.00"
4,5,Rasi Seeds Private Limited,"2,600,000.00"
5,6,Rasi Tex India Private Limited,"2,600,000.00"
6,7,Sri Narasu'S Coffee Company Private Limi Ted,"2,300,000.00"
7,8,Tamilnadu Magnesite Limited,"2,200,000.00"
8,9,Malco Energy Limited,"2,000,000.00"
9,10,Arthanari Loom Centre Textile Private Limited,"1,900,000.00"
10,11,The Karur Vysya Bank Limited,"600,000.00"
11,12,Sambandam Spinning Mills Limited,"500,000.00"
12,13,Ramco Industries Limited,"200,000.00"
13,14,Narasu'S Saarathy Enterprises Private Limited,0.00
