,Tamil Nadu
Ariyalur,0.0
Chennai,1673000000.0
Coimbatore,215500000.0
Cuddalore,247200000.0
Dharmapuri,7200000.0
Dindigul,18400000.0
Erode,10300000.0
Kanchipuram,26500000.0
Kanyakumari,7500000.0
Karur,8100000.0
Krishnagiri,8100000.0
Madurai,63100000.0
Nagapattinam,18600000.0
Namakkal,5700000.0
Nilgiris,9300000.0
Perambalur,0.0
Pudukkottai,600000.0
Ramanathapuram,3800000.0
Salem,31100000.0
Sivaganga,2500000.0
Thanjavur,86800000.0
Theni,2500000.0
Thoothukudi,48300000.0
Tiruchirappalli,49000000.0
Tirunelveli,31200000.0
Tiruppur,1600000.0
Tiruvallur,2600000.0
Tiruvannamalai,700000.0
Tiruvarur,100000.0
Vellore,27800000.0
Viluppuram,0.0
Virudhunagar,40700000.0
