,SNo.,company,amount
0,1,Divi'S Laboratories Limited,"6,484,000.00"
1,2,Deccan Cements Ltd,"4,039,000.00"
2,3,Sagar Cements Ltd,"3,621,089.00"
3,4,Hsil Limited,"2,985,000.00"
4,5,Sitapuram Power Limited,"2,900,000.00"
5,6,Kamineni Hospitals Private Ltd.,"1,755,000.00"
6,7,Sudhakar Pvc Products Private Limited,"1,650,000.00"
7,8,Condor Footwear (India ) Limited,"1,100,000.00"
8,9,Pokarna Limited,"963,000.00"
9,10,Nile Limited,"760,000.00"
10,11,Symed Labs Limited,"691,127.00"
11,12,Sudhakar Plastic Private Limited,"600,000.00"
12,13,Caps Gold Private Limited,"204,624.00"
13,14,Avantel Limited,"157,000.00"
14,15,Kakatiya Cement Sugar And Industries Limited,"130,000.00"
15,16,Micropack Private Limited,0.00
