,SNo.,company,amount
0,1,Aparna Constructions And Estates Private  Limited,"15,302,377.00"
1,2,Hindustan Aeronautics Limited,"14,000,000.00"
2,3,Granules India Limited,"11,594,000.00"
3,4,Margadarsi Chit Fund Private Limited,"7,000,000.00"
4,5,Tfl Quinn India Private Limited,"6,380,133.00"
5,6,Sri Krishna Pharmaceuticals Limited,"3,007,000.00"
6,7,Virchow Laboratores Limited.,"2,936,030.00"
7,8,Ganga Kaveri Seeds Private Limited,"2,927,441.00"
8,9,Manchukonda Prakasham Industries India Private Limited,"2,200,000.00"
9,10,Lee Pharma Limited,"2,101,000.00"
10,11,Aparna Enterprises Limited,"1,980,000.00"
11,12,Aparna Infrahousing Private Limited (Part Ix ),"1,800,000.00"
12,13,Incessant Technologies Private Limited,"1,198,481.00"
13,14,Rockwell Collins (India) Enterprises Private Limited,"500,000.00"
14,15,Gmr Hyderabad International Airport Limited,"275,000.00"
15,16,My Home Constructions Private Limited,"250,000.00"
16,17,Spectra India Housing Private Limited,"200,000.00"
17,18,United States Pharmacopeia - India Private Limited,"186,042.00"
18,19,Prabhat Agri Biotech Limited,"115,000.00"
19,20,Virchow Drugs Limited,"80,000.00"
20,21,Saraiwwalaa Agrr Refineries Limited,"55,000.00"
21,22,Rohini Minerals Private Limited,0.00
22,23,Andhra Organics Limited,0.00
