,SNo.,company,amount
0,1,Rites Limited,"5,100,000.00"
1,2,Hma Agro Industries Limited,"4,800,000.00"
2,3,Power Grid Corporation Of India Limited,"3,621,000.00"
3,4,Dharampal Satyapal Limited,"2,555,000.00"
4,5,Amar Ujala Publications Limited,"922,000.00"
5,6,Roger Industries Limited,"832,894.00"
6,7,Romsons Scientific And Surgical Industries Private Limited,"800,000.00"
7,8,Hp India Sales Private Limited,"730,000.00"
8,9,Tej International Pvt Ltd.,"500,000.00"
9,10,Vacmet India Limited,"453,970.00"
10,11,Benara Udyog Limited,"217,647.00"
11,12,Bhole Baba Milk Food Industries Limited,"200,000.00"
12,13,Schiller Healthcare India Private Limited,"151,410.00"
13,14,Bhansali Engg Polymers Ltd,"100,000.00"
14,15,Gupta H.C. Overseas (I) Private Limited,0.00
