,SNo.,company,amount
0,1,Rural Electrification Corporation Limited,"961,759,013.00"
1,2,Religare Finvest Limited,"18,088,432.00"
2,3,Iqor India Services Private Limited,"2,514,325.00"
3,4,Interra Systems (India) Private Limited,"2,100,000.00"
4,5,Yashi Industries Private Limited,"1,500,000.00"
5,6,Conax Access Systems Private Limited,"1,373,310.00"
6,7,Axis Bank Limited,"1,238,433.00"
7,8,Pnb Metlife India Insurance Company Limited,"1,230,000.00"
8,9,Ifci Venture Capital Funds Limited,"1,100,000.00"
9,10,Cma Cgm Logistics Park (Dadri) Private Limited,"1,000,000.00"
10,11,Indeutsch Industries Private Limited,"803,665.00"
11,12,Versatile Strategics Private Limited,"750,000.00"
12,13,Gravitie Knowledge Services Private Limited,"735,000.00"
13,14,Shreyas Morakhia And Famiily Assets Private Limited,"500,000.00"
14,15,Religare Enterprises Limited,"498,842.00"
15,16,River Engineering Private Limited,"250,000.00"
16,17,Exotica Housing & Infrastructure Projects Private Limited,"227,311.00"
17,18,The Oriental Insurance Company Limited,"200,000.00"
18,19,Frog Cellsat Limited,"200,000.00"
19,20,Welspun Energy Private Limited,"135,943.00"
20,21,Ridaan And Ruhan Buildwell Private Limited,"30,000.00"
