,SNo.,company,amount
0,1,Royal Beverages Private Limited,"16,800,000.00"
1,2,Uppal-Chadha Hi-Tech Developers Private Limited,"8,000,000.00"
2,3,Ginni Filaments Limited.,"5,785,000.00"
3,4,Shriram Pistons And Rings Limited,"5,000,000.00"
4,5,Hil Limited,"5,000,000.00"
5,6,Bio-Med Private Limited,"3,797,567.00"
6,7,T .R .I. Nutrients Private Limited,"3,260,000.00"
7,8,Yashoda Hospital And Research Centre Limited,"2,400,000.00"
8,9,Goodluck India Limited,"2,108,000.00"
9,10,Gripwel Fasteners Private Limited,"2,000,000.00"
10,11,Vibhor Vaibhav Infrahome Private Limited,"1,980,000.00"
11,12,Greenlam Industries Limited,"1,894,000.00"
12,13,Ajay Industrial Corporation Limited.,"1,800,000.00"
13,14,Ghaziabad Precision Products Private Limited,"1,683,000.00"
14,15,Compro Technologies Private Limited,"1,270,022.00"
15,16,Elin Electronics Ltd.,"879,328.00"
16,17,Chw Forge Private Limited,"836,733.00"
17,18,B4S Solutions Private Limited,"702,128.00"
18,19,Smc Global Securities Limited,"500,000.00"
19,20,Ferolite Jointings Limited.,"500,000.00"
20,21,Salasar Techno Engineering Limited,"494,712.00"
21,22,Spectra Products Private Limited,"450,000.00"
22,23,Micromatic Machine Tools Private Ltd,"400,000.00"
23,24,Agarwal Associates (Promoters) Ltd,"333,273.00"
24,25,Patiala Kings Liquor Private Limited,"293,741.00"
25,26,Ultra International Limited,"207,720.00"
26,27,Amrit Banaspati Company Limited,"200,000.00"
27,28,Richa Fashion Private Limited,0.00
28,29,East India Udyog Ltd,0.00
29,30,Hema Engineering Industries Ltd,0.00
30,31,Manisha Projects Private Limited,0.00
