,SNo.,company,amount
0,1,Hindustan Aeronautics Limited,"37,478,000.00"
1,2,Coal India Ltd Govt Of India Undertaking,"28,239,000.00"
2,3,Railtech Infraventure Private Limited,"7,405,000.00"
3,4,Ratan Housing Development Limited,"6,700,000.00"
4,5,Express Newspapers Private Limited,"5,000,000.00"
5,6,Kpl Exports Private Limited,"4,097,415.00"
6,7,U.Y. Industries Private Limited (Trf.),"3,500,000.00"
7,8,Valvoline Cummins Private Limited,"3,300,000.00"
8,9,M K U Limited,"3,253,612.00"
9,10,Johnson Matthey Chemicals India Private Limited,"3,110,238.00"
10,11,Power Grid Corporation Of India Limited,"2,745,000.00"
11,12,Yogesh Agencies And Investments Private Limited,"2,500,000.00"
12,13,Shubham Goldiee Masale Private Limited,"2,233,087.00"
13,14,Frost International Limited,"1,950,000.00"
14,15,Central U.P. Gas Limited,"1,920,000.00"
15,16,Global Information Systems Technology Private Limited,"1,500,000.00"
16,17,Kanpur Fertilizers & Cement Limited,"1,474,000.00"
17,18,Euro Footwear Private Limited,"1,075,000.00"
18,19,Kanpur Edibles Private Limited,"1,000,000.00"
19,20,Vinayak Shree Real Estate Private Limited,"700,000.00"
20,21,Tasty Dairy Specialities Limited,"411,808.00"
21,22,Venus India Asset-Finance Private Limited,"345,000.00"
22,23,Torpedo Shoes Private Limited,"320,000.00"
23,24,Lubrizol India Private Limited,"300,000.00"
24,25,Jagran Media Network Investment Private Limited,"300,000.00"
25,26,Superhouse Limited,"271,085.00"
26,27,Ansys Software Private Limited,"250,000.00"
27,28,Amar Ujala Publications Limited,"147,000.00"
28,29,Central Railside Warehouse Company Limited,"130,000.00"
29,30,Dayal Fertilizers Private Limited,"25,000.00"
30,31,Ganesha Ecosphere Limited,"5,100.00"
31,32,Ge Power India Limited,0.00
32,33,Pan Parag India Limited,0.00
33,34,Everest Tannery Private Limited,0.00
34,35,Viva Merchants Private Limited,0.00
