,SNo.,company,amount
0,1,Al-Faheem Meatex Private Limited,"54,200,000.00"
1,2,Ihdp Globals Private Limited,"3,400,000.00"
2,3,Poddar Housing And Development Limited,"2,100,000.00"
3,4,Dev Priya Products Private Limited,"1,856,977.00"
4,5,Sanspareils Greenlands Private Limited,"1,850,658.85"
5,6,Dayal Fertilizers Private Limited,"655,000.00"
6,7,Kangaroo Kids Education Limited,"482,001.00"
7,8,Can Fin Homes Limited,"407,144.00"
8,9,Dewan Housing Finance Corporation Limited,"400,000.00"
9,10,Amar Ujala Publications Limited,"21,000.00"
10,11,Indian Renewable Energy Development Agency Limited,0.02
11,12,Metenere Limited,0.00
12,13,Mvs Engineering Limited,0.00
