,Uttar Pradesh
 Kheri,0.0
Agra,20983921.0
Aligarh,4475246.0
Allahabad,151424941.0
Ambedkar Nagar,0.0
Amethi,34446000.0
Amroha,0.0
Auraiya,100000.0
Azamgarh,481290.0
Baghpat,1520175.0
Bahraich,0.0
Ballia,500000.0
Balrampur,0.0
Banda,0.0
Barabanki,57725944.0
Bareilly,10127500.0
Basti,1000000.0
Bhadohi,0.0
Bijnor,1200000.0
Budaun,0.0
Bulandshahr,8343455.0
Chandauli,0.0
Chitrakoot,0.0
Deoria,6518000.0
Etah,0.0
Etawah,0.0
Faizabad,15467.0
Farrukhabad,0.0
Fatehpur,0.0
Firozabad,0.0
Gautam Buddha Nagar,996234274.0
Ghaziabad,68575224.0
Ghazipur,11982416.9
Gonda,1416000.0
Gorakhpur,2430000.0
Hamirpur,0.0
Hapur,0.0
Hardoi,800000.0
Hathras,0.0
Jalaun,0.0
Jaunpur,10043730.16
Jhansi,0.0
Kannauj,735000.0
Kanpur Dehat,5395092.0
Kanpur Nagar,121685345.0
Kanshiram Nagar,0.0
Kaushambi,0.0
Kushinagar,1000000.0
Lalitpur,6334000.0
Lucknow,66452973.0
Maharajganj,0.0
Mahoba,442580.0
Mainpuri,0.0
Mathura,110688057.0
Mau,0.0
Meerut,65372780.870000005
Mirzapur,85000.0
Moradabad,14349256.0
Muzaffarnagar,1600000.0
Pilibhit,1509000.0
Pratapgarh,6540000.0
Raebareli,0.0
Rampur,9406770.0
Saharanpur,2047800.0
Sambhal,0.0
Sant Kabir Nagar,489662.0
Shahjahanpur,182300000.0
Shamali,0.0
Shravasti,56193.0
Siddharthnagar,0.0
Sitapur,6822850.0
Sonbhadra,8731000.0
Sultanpur,1095000.0
Unnao,0.0
Varanasi,42937804.0
