,SNo.,company,amount
0,1,Railtel Corporation Of India Limited,"6,300,000.00"
1,2,Alembic Pharmaceuticals Limited,"5,000,000.00"
2,3,Asian Hotels (East) Limited,"5,000,000.00"
3,4,Nsil Exports Limited,"2,100,000.00"
4,5,Banox Exim Private Limited,"1,200,000.00"
5,6,Sara Textiles Limited,"1,000,000.00"
6,7,Bharti Airtel Limited,"1,000,000.00"
7,8,Nidec Industrial Automation India Private Limited,"700,000.00"
8,9,Asian Hotels (West) Limited,"700,000.00"
9,10,Ht Media Limited,"600,000.00"
10,11,Mahindra And Mahindra Financial Services Limited,"600,000.00"
11,12,National Insurance Co Ltd,"500,000.00"
12,13,Talbros Engineering Limited,"500,000.00"
13,14,Amar Ujala Publications Limited,"500,000.00"
14,15,Shivalik Bimetal Controls Ltd,"300,000.00"
15,16,Emerson Process Management Power And Water Solutions India Private Limited,"200,000.00"
16,17,Windlas Biotech Private Limited,"200,000.00"
17,18,The India Thermit Corporation Limited,"200,000.00"
18,19,Blue Dart Express Limited,"100,000.00"
19,20,Star Union Dai-Ichi Life Insurance Company Limited,0.00
20,21,Hema Laboratories Pvt Ltd,0.00
