,SNo.,company,amount
0,1,Rites Limited,"6,400,000.00"
1,2,General Insurance Corporation Of India,"4,587,473.00"
2,3,Shakambhari Ispat & Power Limited,"3,543,400.00"
3,4,Bridge & Roof Co (India) Ltd,"3,487,000.00"
4,5,Bengal Finance And Investment Private Limited,"2,500,000.00"
5,6,Saj Food Products Private Limited,"2,325,000.00"
6,7,Gagan Ferrotech Limited,"2,291,000.00"
7,8,Cesc Ltd,"1,814,655.00"
8,9,Srei Equipment Finance Limited,"1,500,000.00"
9,10,Arohan Financial Services Private Limited,"1,483,000.00"
10,11,West Bengal Industrial Development Corpn  Ltd,"360,000.00"
11,12,Magna Projects Pvt Ltd,"301,873.43"
12,13,Warren Tea Limited,"260,000.00"
13,14,Tractors India Private Limited,"200,000.00"
14,15,Gvn Fuels Ltd,0.00
15,16,Weilburger Coatings (India) Private Limited,0.00
