,Unnamed: 0,name,CIN,NIC,amount
0,0,3D Plm Software Solutions Limited,U72900MH2001PLC134244,72.0,4123509
1,1,3F Oil Palm Agrotech Private Limited,U15400TG2010PTC069556,15.0,0
2,2,42Gears Mobility Systems Private Limited,U72200KA2010PTC055249,,1245000
3,3,63 Moons Technologies Limited,,,12446000
4,4,A B Sugars Limited,U15421DL1997PLC128097,,889000
5,5,A B T Limited,U60231TZ1931PLC000006,49.0,2000000
6,6,A G Industries Pvt Ltd,U27300HR1991PTC031378,27.0,12
7,7,A L M Industries Limited,U19111DL1996PLC129067,,1800000
8,8,A P I Ispat And Powertech Privatelimited,U27101DL2004PTC129773,,700000
9,9,A P Refinery Private Limited,U15143PB2003PTC026245,,400000
10,10,A R B Bearings Limited,U74899DL1990PLC039861,,1070610
11,11,A R Sulphonates Private Limited,U24111WB2004PTC099677,,75000
12,12,A.B. Grain Spirits Private Limited,U15500PB2005PTC027841,,100000
13,13,A2Z Filtration Specialities Private Limited,U74999DL2002PTC115146,,1258600
14,14,Aachi Masala Food'S Private Limited,,,3400000
15,15,Aaiswarya Dyeing Mills Private Limited,U17119GJ1993PTC020372,,1700000
16,16,Aakar Investment Private Limited,U67120MH1999PTC118964,66.0,5000000
17,17,Aakash Global Foods Private Limited,U15440MP1992PTC007224,,545000
18,18,Aap Realtors Limited,U45201MH2008PLC181582,,300000
19,19,Aapc India Hotel Management Private Limited,U55101DL2004PTC130073,55.0,1300000
20,20,Aarti Industries Ltd,L24110GJ1984PLC007301,20.0,2600000
21,21,Aarti International Limited,U27109PB1993PLC014037,27.0,1705801
22,22,Aarti Steels Limited,U17115PB1979PLC003991,,6488688
23,23,Aarvee Associates Architects Engineers And Consultants Private Limited,U74200TG2005PTC045491,,200000
24,24,Aavantika Gas Limited,U40107MP2006PLC018684,40.0,1100000
25,25,Abb India Limited,L32202KA1949PLC032923,32.0,17700000
26,26,Abc Bearings Limited,L29130MH1961PLC012028,29.0,1332000
27,27,Abci Infrastructures Private Limited,U45202WB1993PTC058047,,1600000
28,28,Abco Advisory Services India Private Limited,U93000TN2008FTC069660,,2800000
29,29,Abdos Lamitubes Private Limited,U25202AS2004PTC007382,25.0,0
30,30,Abharan Jewellers Private Limited,U27205KA2011PTC058025,,393694
31,31,Abhay Nutrition Private Limited,,,90000
32,32,Abhijit Realtors & Infraventures Private Limited,U45208MH2007PTC174132,,1327750
33,33,Abhilash Chemicals And Pharmaceuticals Private Limited,U24294TN1994PTC026936,,1200000
34,34,Abi-Showatech (India) Limited,U40103TN1991PLC021872,40.0,9500000
35,35,Abil Infraprojects Limited,U45204MH1993PLC071289,45.0,5600000
36,36,Abil Realty Private Limited,U70100PN2010PTC137393,70.0,1300000
37,37,Abp Private Limited,U22219WB1922PTC004503,18.0,180000
38,38,Acb (India) Limited,U10102DL1997PLC085837,10.0,19903101
39,39,Accenture Solutions Private Limited,U72400MH1990PTC057492,,12546220
40,40,Access Healthcare Services Private Limited,U74220TN2011PTC078925,,1200000
41,41,Acclaris Business Solutions Private Limited,U74140WB2003PTC096338,,1232140
42,42,Accord Software And Systems Private Limited,U72200KA1991PTC012629,,491260
43,43,Accudyne Industries India Private Limited,U51102TN1983PTC010379,,600000
44,44,Ace Designers Limited,U29199KA1986PLC007816,29.0,4155222
45,45,Ace Hardware Private Limited,U74899DL1983PTC016052,,414050
46,46,Ace Multi Axes Systems Limited,U85110KA1995PLC018544,86.0,1862000
47,47,Ace Tyres Limited,U25112TG2001PLC037183,,0
48,48,Acg Inspection Systems Private Limited,U72300MH2009PTC192362,,799690
49,49,Acg Pampac Machines Private Limited,U27299MH1987PTC044041,,605371
50,50,Acg Pharmapack Private Limited,U45200MH2004PTC149770,,2350000
51,51,Aci Worldwide Consulting (India) Private Limited,U72200PN2004PTC019122,,6271
52,52,Aci Worldwide Solutions Private Limited,U72200KA1994PTC016336,,263281
53,53,Acme Solar Technologies (Gujarat) Private Limited,U40105HR2009PTC038901,40.0,3100000
54,54,Acquire Services Private Limited,U63040RJ1997PTC049661,,1100000
55,55,Acrysil Limited,L26914MH1987PLC042283,26.0,2073340
56,56,Acsys Investments Private Limited,U72200TN1989PTC018287,72.0,8100000
57,57,Act Infraport Limited,U45200MH2004PLC148978,,1100000
58,58,Acv Products Private Limited,U17111TZ1999PTC009087,,1000000
59,59,Ad- Manum Finance Limited,L52520MP1986PLC003405,52.0,0
60,60,Ad2Pro Media Solutions Private Limited,U72300KA2006PTC040779,72.0,1000000
61,61,Adam Fabriwerk Private Limited,U24231MH1982PTC027517,,300000
62,62,Adani Estates Private Limited,U45300GJ2005PTC046949,,7
63,63,Adani Gas Limited,U40100GJ2005PLC046553,40.0,19700000
64,64,Adani Infra (India) Limited,U45204GJ2010PLC059226,45.0,3400000
65,65,Adani Infrastructure And Developers Private Limited,,,800000
66,66,Adani Logistics Limited,U63090GJ2005PLC046419,63.0,393000
67,67,Adani Ports And Special Economic Zone Limited,L63090GJ1998PLC034182,52.0,8500000
68,68,Adani Township & Real Estate Company Private Limited,U70101GJ2012PTC071738,70.0,458000
69,69,Adani Wilmar Limited,U15146GJ1999PLC035320,10.0,16690000
70,70,Adar Poonawalla Finvest Pvt Ltd,U51503MH1985PTC035067,,500000
71,71,Addison & Co. Limited,U28939TN1914PLC000008,28.0,1200000
72,72,Adhunik Industries Limited,L65921WB1979PLC032200,64.0,110000
73,73,Adient India Private Limited,U34300PN1996PTC015038,,570000
74,74,Adithya Automotive Applications Private Limited,U34201UP2006PTC041454,34.0,800000
75,75,Aditya Birla Fashion And Retail Limited,L18101MH2007PLC233901,18.0,20381000
76,76,Aditya Birla Finance Limited,U65990GJ1991PLC064603,65.0,22910607
77,77,Aditya Birla Health Services Limited,U85199PN2001PLC019881,85.0,1274175
78,78,Aditya Birla Money Mart Limited,U61190GJ1997PLC062406,61.0,200000
79,79,Aditya Music (India) Private Limited,U32301TG2000PTC034478,,2000000
80,80,Admark Polycoats Private Limited,U24224GJ2002PTC040987,,412500
81,81,Ador Powertron Limited,U31103PN1995PLC084268,31.0,300000
82,82,Ador Welding Limited,L70100MH1951PLC008647,68.0,1619000
83,83,Adroit Industries (India) Limited,U74999MH1995PLC084474,,0
84,84,Advaith Motors Private Limited,U34300KA1998PTC023605,,300000
85,85,Advanced Enzyme Technologies Limited,U24200MH1989PLC051018,24.0,250000
86,86,Advanced Micro Devices Pvt Ltd,U74909HR1978PTC009051,,18200000
87,87,Advent Envirocare Technology Pvt Ltd,U29197GJ1996PTC028765,,300000
88,88,Advent India Pe Advisors Private Limited,U74999MH2009PTC195263,,555350
89,89,Advik Hi-Tech Private Limited,U29299PN1998PTC013028,,1161073
90,90,Adwaith Lakshmi Industries Limited,U27109TZ1991PLC003510,27.0,300000
91,91,Aerospace Materials Private Limited,U45201TZ1988PTC002113,45.0,900000
92,92,Aesthetic Builders Private Limited,U45202MH1971PTC015224,,4000000
93,93,Af-Taab Investment Company Limited,U65990MH1979PLC021037,65.0,700000
94,94,Afcons Infrastructure Limited,U45200MH1976PLC019335,45.0,3300000
95,95,Aforeserve. Com Limited,U72900WB2000PLC092058,,0
96,96,Ag8 Ventures Limited,U45201MP1997PLC012427,,400000
97,97,Agarmin Coalwashery Private Limited,U01010MP2005PTC017426,,310000
98,98,Agarwal Associates (Promoters) Ltd,U51909DL1986PLC023729,,333273
99,99,Agarwal Coal Corporation Private Limited,U23109MP2000PTC014351,,6540000
100,100,Agarwal Fuel Corporation Private Limited,U45203MP1980PTC001674,,2300000
101,101,Agarwal Marbles India Private Limited,U14101RJ1999PTC015389,,454800
102,102,Agarwal Transport Corporation Private Limited,U60210MP2003PTC015665,,2200000
103,103,Agility Logistics Private Limited,U60230MH1998PTC112960,,821195
104,104,Agm India Advisors Private Limited,U45400MH2007PTC176833,45.0,1700000
105,105,Agriculture Insurance Company Of India Limited,U74999DL2002PLC118123,74.0,11320000
106,106,Agrocel Industries Private Limited,U24210GJ1985PTC007569,,7285000
107,107,Agson Global Private Limited,U51909DL1997PTC087560,,0
108,108,Ahmedabad Strips Private Limited,U27100GJ1997PTC032714,,1002100
109,109,Aia Engineering Limited,L29259GJ1991PLC015182,29.0,2095000
110,110,Aica Laminates India Private Limited,U74120DL2011FTC248106,,200000
111,111,Aig Analytics & Services Private Limited,U74990KA2009PTC076432,,850000
112,112,Aig Data Services Private Limited,U72900KA2013FTC072059,,250000
113,113,Aimil Limited,U74899DL1972PLC006093,74.0,1159635
114,114,Air Inn Private Limited,U55101MH1982PTC026750,,980648
115,115,Airbus Group India Private Limited,U74999KA2007PTC041706,,1200000
116,116,Airvana Networks India Private Limited,U72200KA2004FTC034129,,2300000
117,117,Airwatch Technologies India Private Limited,U72200KA2010PTC056367,,2400000
118,118,Aizant Drug Research Solutions Private Limited,U24239TG2005PTC048133,,356000
119,119,Ajanta Private Limited,U33300GJ1989PTC013081,,0
120,120,Ajax Fiori Engineering (India) Private Limited,U28920KA1992PTC013306,,500000
121,121,Ajay Engi-Infrastructure Private Limited,U45209GJ2008PTC053066,,3500000
122,122,Ajay Industrial Corporation Limited.,U51909DL2008PLC180573,,1800000
123,123,Ajeet Seeds Private Limited,U01100MH1986PTC039814,,45200000
124,124,Ajwani Infrastructure Private Limited,U45201MH1986PTC040568,,200000
125,125,Akashdeep International Private Limited,U74140MH1995PTC084537,,1000000
126,126,Aker Powergas Subsea Private Limited,U74990MH2010PTC210736,,9600000
127,127,Akshar Impex Private Limited,U51100MH2006PTC200588,,2500000
128,128,Aksharchem (India ) Limited,L24110GJ1989PLC012441,20.0,1400000
129,129,Akums Drugs And Pharmaceuticals Limited,U24239DL2004PLC125888,,32000000
130,130,Akzo Nobel India Limited,L24292WB1954PLC021516,24.0,12800000
131,131,Al-Faheem Meatex Private Limited,U01214UP1996PTC020905,,54200000
132,132,Al-Hamd Agro Food Products Private Limited,U15116UP2003PTC027403,,3275031
133,133,Alchemy Capital Management Private Limited,U67120MH1999PTC119811,66.0,3100000
134,134,Alco Company Private Limited,U66010MH1944PTC004164,,775000
135,135,Alcon Laboratories (India) Private Limited,U33119KA1999FTC025496,,500000
136,136,Alcon Resort Holdings Private Limited,U70101GA1988PTC000841,,17855
137,137,Alcove Construction Pvt Ltd,U70101WB1996PTC079790,,51000
138,138,Alembic Pharmaceuticals Limited,L24230GJ2010PLC061123,24.0,50150000
139,139,Alf Engineering Private Limited,U28900MH2006PTC160179,,6000000
140,140,Alicon Castalloy Limited,L99999PN1990PLC059487,99.0,4492002
141,141,Alkem Laboratories Limited,U00305MH1973PLC174201,0.0,4300000
142,142,Allegis Services (India) Private Limited,U74140KA2005PTC035624,,2903481
143,143,Allergan Healthcare India Private Limited,U85190KA2008PTC048318,85.0,0
144,144,Alliance Merchandising Company Private Limited,U74899DL1988PTC031996,74.0,1500000
145,145,Allied Blenders And Distillers Private Limited,U15511MH2008PTC187368,,2100000
146,146,Allscripts (India) Private Limited,U72200GJ1998PTC034948,,15000
147,147,Allstate Solutions Private Limited,U74900KA2012FTC064201,,887250
148,148,Alltech Biotechnology Private Limited,U74999KA2001PTC028884,,96000
149,149,Alok International Private Limited,U51109HR2008PTC040042,,1000000
150,150,Alp Nishikawa Company Private Limited,U25190DL1983PTC017070,,2000000
151,151,Alpha Design Technologies Private Limited,U74140KA2003PTC032191,,2225000
