,SNo.,company,amount
0,1,East India Petroleum Private Limited,"5,800,000.00"
1,2,Eisai Pharmaceuticals India Private Limited,"3,600,000.00"
2,3,Rhi Clasil Private Limited,"2,300,000.00"
3,4,Vijaynagar Bio-Tech Private Limited,"2,000,000.00"
4,5,Amaravathi Textiles Pvt Ltd,"2,000,000.00"
5,6,Vizag It Park Limited,"1,100,000.00"
6,7,Hindustan Shipyard Limited,"800,000.00"
7,8,Lotus Wireless Technologies India Private Limited,"700,000.00"
8,9,Visakhapatnam Industrial Water Supply Company Limited,"600,000.00"
9,10,Sai Marine Exports Private Limited,"300,000.00"
10,11,Grt Jewellers (India) Private Limited,"100,000.00"
11,12,Premier Explosives Limited,"100,000.00"
12,13,Avantel Limited,"100,000.00"
13,14,People Combine Avenues Limited,0.00
