,Assam
Baksa,15000000.0
Barpeta,2700000.0
Biswanath,0.0
Bongaigaon,400000.0
Cachar,900000.0
Charaideo,0.0
Chirang,0.0
Darrang,300000.0
Dhemaji,600000.0
Dhubri,17700000.0
Dibrugarh,0.0
Dima Hasao ,0.0
Goalpara,1800000.0
Golaghat,190700000.0
Hailakandi,0.0
Hojai,0.0
Jorhat,5000000.0
Kamrup,23900000.0
Kamrup Metropolitan,0.0
Karbi Anglong,600000.0
Karimganj,0.0
Kokrajhar,1800000.0
Lakhimpur,0.0
Majuli,0.0
Morigaon,0.0
Nagaon,700000.0
Nalbari,300000.0
Sivasagar,0.0
Sonitpur,7300000.0
South Salamara-Mankachar,0.0
Tinsukia,0.0
Udalguri,0.0
West Karbi Anglong,0.0
