,Bihar
Araria,0.0
Arwal,0.0
Aurangabad,16900000.0
Banka,0.0
Begusarai,0.0
Bhagalpur,0.0
Bhojpur,0.0
Buxar,0.0
Darbhanga,3500000.0
East Champaran (Motihari),0.0
Gaya,1200000.0
Gopalganj,0.0
Jamui,0.0
Jehanabad,800000.0
Kaimur ,0.0
Katihar,0.0
Khagaria,8000000.0
Kishanganj,1000000.0
Lakhisarai,1300000.0
Madhepura,0.0
Madhubani,0.0
Munger,0.0
Muzaffarpur,0.0
Nalanda,5100000.0
Nawada,0.0
Patna,6800000.0
Purnia,0.0
Rohtas,0.0
Saharsa,0.0
Samastipur,5800000.0
Saran,100000.0
Sheikhpura,0.0
Sheohar,0.0
Sitamarhi,102400000.0
Siwan,0.0
Supaul,0.0
Vaishali,50800000.0
West Champaran,0.0
