,SNo.,company,amount
0,1,Power Grid Corporation Of India Limited,"11,600,000.00"
1,2,Tim Delhi Airport Advertising Private Limited,"1,400,000.00"
2,3,Dee Vee Projects Limited,"1,300,000.00"
3,4,Cholamandalam Investment And Finance Company Limited,"800,000.00"
4,5,Shradha Infraprojects (Nagpur) Limited,0.00
5,6,Gopal Sponge And Power Private Limited,0.00
6,7,Khyati Ispat Private Limited,0.00
7,8,Khetan Sponge And Infrastructure Private  Limited,0.00
8,9,Railtech Welding & Equipment India Private Limited,0.00
9,10,Yoga Builders Private Limited,0.00
10,11,Sequence Properties Private Limited,0.00
