,SNo.,company,amount
0,1,Power Grid Corporation Of India Limited,"71,600,000.00"
1,2,Persistent Systems Limited,"24,200,000.00"
2,3,Apollo Trading And Finance Private Limited,"11,800,000.00"
3,4,Bfl Investments & Financial Consultants Private Limited,"10,300,000.00"
4,5,Sunbeam Auto Private Limited,"10,000,000.00"
5,6,Intertek India Private Limited,"8,100,000.00"
6,7,Johnson Matthey Chemicals India Private Limited,"6,500,000.00"
7,8,Riviera Home Furnishings Private Limited,"6,200,000.00"
8,9,Power System Operation Corporation Limited,"5,000,000.00"
9,10,Hdb Financial Services Limited,"5,000,000.00"
10,11,Avalokiteshvar Valinv Limited,"5,000,000.00"
11,12,Bt Global Communications India Private Limited,"4,800,000.00"
12,13,Vireet Investments Private Limited,"4,000,000.00"
13,14,Fluor Daniel India Private Limited,"4,000,000.00"
14,15,Motorola Solutions India Private Limited,"3,500,000.00"
15,16,Dhanuka Agritech Limited,"3,300,000.00"
16,17,Capital First Limited,"3,100,000.00"
17,18,Sbi Cards And Payment Services Private Limited.,"3,000,000.00"
18,19,Hughes Communications India Limited,"2,800,000.00"
19,20,Overseas Polymers Private Limited,"2,500,000.00"
20,21,Sumitomo Corporation India Private Limited,"2,400,000.00"
21,22,Rambagh Palace Hotel Private Limited,"2,000,000.00"
22,23,Take Solutions Limited,"2,000,000.00"
23,24,Humboldt Wedag India Private Limited,"2,000,000.00"
24,25,Bobcards Limited,"2,000,000.00"
25,26,Dmi Finance Private Limited,"1,900,000.00"
26,27,A G Industries Pvt Ltd,"1,900,000.00"
27,28,Gruh Finance Limited,"1,600,000.00"
28,29,Mercer Consulting (India) Private Limited,"1,500,000.00"
29,30,Hb Portfolio Limited,"1,400,000.00"
30,31,Hotel Queen Road Private Limited.,"1,300,000.00"
31,32,Nv Realty Private Limited,"1,300,000.00"
32,33,Hind Offshore Private Limited,"1,300,000.00"
33,34,Renew Wind Energy (Rajasthan One) Private Limited,"1,200,000.00"
34,35,Munjal Showa Limited,"1,100,000.00"
35,36,New Era India Consultancy Private Limited,"1,100,000.00"
36,37,Nirja Publishers & Printers Private Limited,"1,000,000.00"
37,38,Sequence Design (India) Private Limited,"1,000,000.00"
38,39,Krohne Marshall Pvt Ltd,"1,000,000.00"
39,40,Viren Investments Private Limited,"1,000,000.00"
40,41,Kendle India Private Limited,"1,000,000.00"
41,42,Ansys Software Private Limited,"1,000,000.00"
42,43,Premas Biotech Private Limited,"1,000,000.00"
43,44,Northern Coalfields Limited,"1,000,000.00"
44,45,Novartis Healthcare Private Limited,"900,000.00"
45,46,Somany Ceramics Limited,"900,000.00"
46,47,Auto Ignition Limited,"900,000.00"
47,48,The Oriental Insurance Company Limited,"900,000.00"
48,49,Venus India Asset-Finance Private Limited,"800,000.00"
49,50,V L S Finance Limited,"800,000.00"
50,51,Consero Solutions India Private Limited,"800,000.00"
51,52,Inox Leasing And Finance Limited,"800,000.00"
52,53,Ace Hardware Private Limited,"800,000.00"
53,54,J L Morison (India) Limited,"700,000.00"
54,55,Brindavan Agro Industries Private Limited Trs From Up To Delhi,"700,000.00"
55,56,Christie'S India Private Limited,"700,000.00"
56,57,Orix Leasing & Financial Services India Limited,"700,000.00"
57,58,Utstarcom India Telecom Private Limited,"700,000.00"
58,59,Janalakshmi Financial Services Limited,"700,000.00"
