,SNo.,company,amount
0,1,Max Life Insurance Company Limited,"9,800,000.00"
1,2,Aviva Life Insurance Company India Ltd,"6,300,000.00"
2,3,Power System Operation Corporation Limited,"3,800,000.00"
3,4,Pnb Housing Finance Limited,"3,400,000.00"
4,5,S. E. Investments Limited,"2,800,000.00"
5,6,Tourism Finance Corporation Of India Limited,"2,500,000.00"
6,7,Agriculture Insurance Company Of India Limited,"2,500,000.00"
7,8,Inox Leasing And Finance Limited,"2,300,000.00"
8,9,Ingenico International India Private Limited,"1,300,000.00"
9,10,H M A Udyog Private Limited,"1,100,000.00"
10,11,Allen Diesels India Private Limited,"800,000.00"
11,12,Ifci Venture Capital Funds Limited,"800,000.00"
12,13,Chirag Assocaites Private Limited,"800,000.00"
13,14,Select World Tours (India) Private Limited,"700,000.00"
14,15,Aimil Limited,"700,000.00"
15,16,Renew Wind Energy (Mp Two) Private Limited,"700,000.00"
16,17,Renew Solar Power Private Limited,"600,000.00"
17,18,Vireet Investments Private Limited,"600,000.00"
18,19,Dci India Private Limited,"600,000.00"
19,20,Intec Capital Limited,"500,000.00"
20,21,Lea Associates South Asia Private Limited,"400,000.00"
21,22,Ml Outsourcing Services Private Limited,"300,000.00"
22,23,Dynamic Digital Technology Pvt Ltd,"300,000.00"
23,24,Ongc Tripura Power Company Limited,"200,000.00"
24,25,G G S Information Services India Private  Limited,"200,000.00"
25,26,Raksha Health Insurance Tpa Private Limited,0.00
26,27,Confederation Of Real Estate Developers'  Associations Of India,0.00
27,28,Emerson Process Management Power And Water Solutions India Private Limited,0.00
28,29,Conax Access Systems Private Limited,0.00
29,30,Bmw India Financial Services Private Limited,0.00
30,31,Sahasra Electronics Private Limited,0.00
31,32,Shubham Housing Development Finance Company Limited,0.00
32,33,Kalindi Farms Private Ltd,0.00
33,34,Aikon Technologies Private Limited,0.00
34,35,Fast Movers Logistics Private Limited,0.00
35,36,Ifci Factors Limited,0.00
36,37,Capital Trust Limited,0.00
37,38,Zillious Solutions Private Limited,0.00
38,39,Designers Point (India) Private Limited,0.00
39,40,P S Atree And Co Private Limited,0.00
40,41,Erd Technologies Private Limited,0.00
41,42,Jaypee Powergrid Limited,0.00
42,43,Bajaj Capital Insurance Broking Limited,0.00
43,44,Applied Research International Private Limited,0.00
44,45,Abnaki Infrastructure Applications And Integrated Development Private Limited,0.00
45,46,R E-Rogers India Private Limited,0.00
46,47,Sledgehammer Oil Tools Private Limited.,0.00
47,48,Formula Corporate Solutions India Private Limited,0.00
48,49,Mattsenkumar Services Private Limited,0.00
