,SNo.,company,amount
0,1,Bses Rajdhani Power Limited,"11,900,000.00"
1,2,Agriculture Insurance Company Of India Limited,"4,700,000.00"
2,3,Wiley India Private Limited.,"3,200,000.00"
3,4,Ani Media Private Limited,"3,000,000.00"
4,5,Csl Finance Limited,"2,600,000.00"
5,6,Ikm Investors Private Limited,"1,500,000.00"
6,7,Om Telecom Logistics Private Limited,"1,100,000.00"
7,8,Ozone Metallics Private Limited,"1,000,000.00"
8,9,Renew Solar Energy (Tn) Private Limited,"800,000.00"
9,10,G4S Corporate Services (India) Private Limited,"700,000.00"
10,11,Lea Associates South Asia Private Limited,"600,000.00"
11,12,Ambuja Neotia Holdings Private Limited,"300,000.00"
12,13,Parmesh Finlease Limited,"100,000.00"
13,14,Gracure Pharmaceuticals Limited,"100,000.00"
14,15,Emerson Process Management Power And Water Solutions India Private Limited,0.00
15,16,Fusion Micro Finance Private Limited,0.00
16,17,Medi Plus (India) Limited,0.00
17,18,Basant Projects Limited,0.00
18,19,North East Transmission Company Limited,0.00
19,20,Spank Management Services Private Limited,0.00
20,21,Red Fort Capital Finance Company Private  Limited,0.00
21,22,Hexa Securities And Finance Company Limited,0.00
