,SNo.,company,amount
0,1,Automobile Corporation Of Goa Limited,"4,100,000.00"
1,2,Nanu Estates Private Limited,"2,400,000.00"
2,3,Emco Goa Private Limited,"800,000.00"
3,4,Tulip Diagnostics Private Limited,"500,000.00"
4,5,Siro Clinpharm Private Limited,"100,000.00"
5,6,Madaus Pharmaceuticals Private Limited,"100,000.00"
6,7,Can Fin Homes Limited,"100,000.00"
7,8,Alcon Cement Company Private Limited,0.00
8,9,Guala Closures (India) Private Limited,0.00
9,10,Babuso Agro Marine Company Private Limited,0.00
10,11,Goldwin Builders Private Limited,0.00
11,12,Best Development & Services Private Limited,0.00
