,SNo.,company,amount
0,1,Gujarat State Financial Services Ltd,"26,100,000.00"
1,2,Symphony Limited,"17,000,000.00"
2,3,Techno Electric & Engineering Company Limited,"15,000,000.00"
3,4,Agriculture Insurance Company Of India Limited,"14,400,000.00"
4,5,Vishal Fabrics Limited,"11,300,000.00"
5,6,Khs Machinery Private Limited,"10,400,000.00"
6,7,Dhariyal Polymers Pvt Ltd,"7,900,000.00"
7,8,Sophos Technologies Private Limited,"7,300,000.00"
8,9,Deep Industries Limited,"6,600,000.00"
9,10,Inductotherm (India) Private Limited,"6,000,000.00"
10,11,Gruh Finance Limited,"6,000,000.00"
11,12,Gsp Crop Science Private Limited,"5,200,000.00"
12,13,Nila Infrastructures Limited,"4,500,000.00"
13,14,Metroglobal Limited,"4,000,000.00"
14,15,Arvind Smartspaces Limited,"3,700,000.00"
15,16,Cisco Systems Capital (India) Private Limited,"3,600,000.00"
16,17,Ariba Technologies India Private Limited,"3,500,000.00"
17,18,Mazda Limited,"3,500,000.00"
18,19,Parikh Enterprises Private Limited,"3,500,000.00"
19,20,Arvindbhai Bechardas Jewellers Private Limited,"3,000,000.00"
20,21,Netafim Irrigation India Private Limited,"3,000,000.00"
21,22,Sml Films Limited,"3,000,000.00"
22,23,Cims Hospital Private Limited,"2,800,000.00"
23,24,Veer Plastics Private Limited,"2,500,000.00"
24,25,Cil Nova Petrochemicals Limited,"2,500,000.00"
25,26,Prasad Koch Technik Private Limited,"2,500,000.00"
26,27,Arfin India Limited,"2,400,000.00"
27,28,National Insurance Co Ltd,"2,300,000.00"
28,29,Skf India Limited,"2,300,000.00"
29,30,Zydus Infrastructure Private Limited,"2,200,000.00"
30,31,Kloeckner Desma Machinery Private Limited,"2,200,000.00"
31,32,Tata Aia Life Insurance Company Limited,"2,000,000.00"
32,33,Sodexo Svc India Private Limited,"2,000,000.00"
33,34,E-Infochips Limited,"2,000,000.00"
34,35,Kotak Mahindra Bank Limited,"2,000,000.00"
35,36,Arya Omnitalk Wireless Solutions Private  Limited,"1,900,000.00"
36,37,Sayaji Industries Limited,"1,900,000.00"
37,38,Udhay-Vj Realty Private Limited,"1,800,000.00"
38,39,Ashima Dyecot Private Limited,"1,700,000.00"
39,40,Indo Colchem Private Limited,"1,700,000.00"
40,41,Oerlikon Balzers Coating India Private Limited,"1,700,000.00"
41,42,Idbi Capital Markets & Securities Limited,"1,600,000.00"
42,43,Rushil Decor Limited,"1,600,000.00"
43,44,Inspiron Engineering Private Limited,"1,600,000.00"
44,45,Turakhia Overseas Pvt Ltd,"1,600,000.00"
45,46,Navin Fluorine International Limited,"1,500,000.00"
46,47,Kushal Tradelink Limited,"1,500,000.00"
47,48,Shakti Polyweave Private Limited,"1,500,000.00"
48,49,Jagson Colorchem Limited,"1,500,000.00"
49,50,Concord Biotech Limited,"1,500,000.00"
50,51,M.S. Khurana Engineering Limited,"1,500,000.00"
51,52,Aries Organics Private Limited,"1,400,000.00"
52,53,Pramol Traders Holdings Private Limited,"1,300,000.00"
53,54,Khyati Chemicals Pvt Ltd,"1,300,000.00"
54,55,M & B Engineering Limited,"1,300,000.00"
55,56,Prasad Gwk Cooltech Private Limited,"1,300,000.00"
56,57,E-Procurement Technologies Limited,"1,200,000.00"
57,58,The Upper India Couper Paper Mills Company Private Limited,"1,200,000.00"
58,59,Nirma Credit And Capital Private Limited,"1,200,000.00"
59,60,Silver Touch Technologies Limited,"1,100,000.00"
60,61,Advent Envirocare Technology Pvt Ltd,"1,100,000.00"
61,62,Shri Jagdamba Polymers Limited,"1,100,000.00"
62,63,Naroda Enviro Projects Limited,"1,100,000.00"
63,64,Kiri Industries Limited,"1,100,000.00"
64,65,Mag India Industrial Automation Systems Private Limited,"1,100,000.00"
65,66,K Patel Chemo-Pharma Private Limited,"1,100,000.00"
66,67,Sundaram Bnp Paribas Home Finance Limited,"1,000,000.00"
67,68,Cadmach Machinery Company Private Limited,"1,000,000.00"
68,69,Ongc Teri Biotech Limited,"1,000,000.00"
69,70,Ahmedabad Strips Private Limited,"1,000,000.00"
70,71,Nu-Vu Conair Private Limited,"1,000,000.00"
71,72,Rowenta Networks Private Limited,"1,000,000.00"
72,73,Galaxy Avenue Private Limited,"900,000.00"
73,74,Pangea3 Legal Database Systems Private Limited,"900,000.00"
74,75,Macro Bars And Wires (India) Pvt Ltd,"900,000.00"
75,76,Dynamic Industries Limited,"900,000.00"
76,77,Hdb Financial Services Limited,"900,000.00"
77,78,Gvfl Limited,"800,000.00"
78,79,Emerald Cars Private Limited,"800,000.00"
79,80,Zaveri And Company Private Limited,"800,000.00"
80,81,Can Fin Homes Limited,"700,000.00"
81,82,Shilp Gravures Limited,"700,000.00"
82,83,Shardul Securities Limited,"700,000.00"
83,84,Parker Bullion Private Limited,"700,000.00"
84,85,Transformers And Rectifiers (India) Limited,"600,000.00"
85,86,Ambuja Intermediates Private Limited,"600,000.00"
86,87,Technip India Limited,"600,000.00"
87,88,Hardware Tools And Machinery Projects Private Limited,"600,000.00"
88,89,M. V. Omni Projects (India) Limited,"600,000.00"
89,90,Sterling Addlife India Private Limited,"600,000.00"
90,91,Anveshan Textile Limited,"600,000.00"
91,92,Akum Mercantile Company Private Limited,"600,000.00"
92,93,Inventia Healthcare Private Limited,"600,000.00"
93,94,Total Cardio Vascular Solutions Private Limited,"500,000.00"
94,95,Devarsons Industries Private Limited,"500,000.00"
95,96,Crystal Quinone Pvt Ltd,"500,000.00"
96,97,Jade Blue Lifestyle India Limited,"500,000.00"
97,98,Genuine Stock Brokers Private Limited,"500,000.00"
98,99,La-Gajjar Machineris Private Limited,"400,000.00"
99,100,Lincoln Pharmaceuticals Ltd,"300,000.00"
100,101,Alkem Laboratories Limited,"300,000.00"
101,102,Jaykay Finholding (India) Private Limited,"300,000.00"
102,103,Unison Pharmaceuticals Private Limited,"300,000.00"
103,104,Mas Financial Services Limited,"300,000.00"
104,105,Termoplast Pollypacks Italy (India) Private Limited,"200,000.00"
105,106,Shairu Gems Diamonds Private Limited,"200,000.00"
106,107,Paratam Investments Private Limited,"200,000.00"
107,108,Oras Investments Private Limited,"200,000.00"
108,109,Namra Finance Limited,"200,000.00"
109,110,Lonsen Kiri Chemical Industries Limited,"200,000.00"
110,111,Spectrum Johnson Tiles Private Limited,"200,000.00"
111,112,Small Johnson Floor Tiles Private Limited,"200,000.00"
112,113,Dream Bake Private Limited,"200,000.00"
113,114,Swagat Infrastructure Private Limited,"200,000.00"
114,115,Anmol Spintex Private Limited,"200,000.00"
115,116,Fairchem Speciality Limited,"100,000.00"
116,117,Hitachi Hi-Rel Power Electronics Private  Limited,"100,000.00"
117,118,Jyotirmay Jewels Private Limited,"100,000.00"
118,119,Vimalachal Print And Pack Pvt Ltd,"100,000.00"
119,120,Achal Spinning Private Limited,"100,000.00"
120,121,Novex Poly Films Private Limited,"100,000.00"
121,122,Navdeep Chemicals Private Limited,"100,000.00"
122,123,The Associated Auto Parts Private Limited,"100,000.00"
123,124,Ashish Infracon Private Limited,"100,000.00"
124,125,R S B Cottex Limited,"100,000.00"
125,126,Power Grid Corporation Of India Limited,"100,000.00"
126,127,F. C. Sondhi & Co. (India) Private Limited,"100,000.00"
127,128,Jet Age Securities Pvt Ltd,"100,000.00"
128,129,Sanghi Industries Limited,"100,000.00"
129,130,Micro Housing Finance Corporation Limited,"100,000.00"
130,131,Synpol Products Private Limited,0.00
131,132,Terratech Chemicals (India) Private Limited,0.00
132,133,Dutron Plastics Limited,0.00
133,134,Sarna Chemicals Private Limited,0.00
134,135,Hindustan Marble Private Limited,0.00
135,136,Gobind Glass And Industries Limited,0.00
136,137,Devang Paper Mills Private Limited,0.00
137,138,Engineering And Agencies Pvt Ltd,0.00
138,139,Sahitya Mudranalaya Pvt Ltd,0.00
139,140,Healthindia Insurance Tpa Services Private Limited,0.00
140,141,United Chemie Private Limited,0.00
141,142,Kangaroo Kids Education Limited,0.00
142,143,Balaji Formalin Private Limited,0.00
143,144,Psp Projects Limited,0.00
144,145,Vr Persulfates Private Limited,0.00
145,146,Asap Fluids Private Limited,0.00
146,147,Finecure Pharmaceuticals Limited,0.00
147,148,Guala Closures (India) Private Limited,0.00
148,149,Prasad Pneucon Solution Private Limited,0.00
149,150,National Multi-Commodity Exchange Of India Limited,0.00
150,151,Betex India Limited (Co Tr From Maha ),0.00
151,152,Dynamic Autolooms Inida Pvt Ltd,0.00
152,153,Interactive Manpower Solution Private Limited,0.00
153,154,Flagship Realty Private Limited,0.00
154,155,Fisher Biopharma Services (India) Private Limited,0.00
155,156,Teleysia Networks Private Limited,0.00
156,157,R And S Engineering India Pvt Ltd,0.00
157,158,Telecom Investments India Private Limited,0.00
158,159,Rishi Fibc Solutions Private Limited,0.00
159,160,Shako Flexi Pack Pvt Ltd,0.00
160,161,22 Feet Tribal Worldwide Private Limited,0.00
161,162,Nova Pulse Ivf Clinic Ahmedabad Private Limited,0.00
162,163,Universal Medicap Limited,0.00
163,164,Mid Valley Health Care Services Private Limited,0.00
164,165,M Pratapray Prints Pvt Ltd,0.00
165,166,Hema Laboratories Pvt Ltd,0.00
166,167,Montecarlo Limited,0.00
167,168,Satlon Enterprise Private Limited,0.00
168,169,B. G. A. Tradelink Private Limited.,0.00
169,170,Flamingo Transworld Private Limited,0.00
170,171,Gala Landmarks Private Limited,0.00
