,SNo.,company,amount
0,1,Jm Financial Asset Management Limited,"5,200,000.00"
1,2,Acrysil Limited,"2,500,000.00"
2,3,K.P. Energy Limited,"2,300,000.00"
3,4,Jm Financial Limited,"2,200,000.00"
4,5,Tamboli Castings Limited,"1,600,000.00"
5,6,Madhu Silica Private Limited,"1,400,000.00"
6,7,Green Infra Wind Energy Limited,"700,000.00"
7,8,Lakhani Dyestuffs Private Limited,"500,000.00"
8,9,Navdeep Chemicals Private Limited,"100,000.00"
9,10,Grp Limited,"100,000.00"
10,11,Girnar Food And Beverages Private Limited,"100,000.00"
11,12,Steel Cast Limited,"100,000.00"
12,13,Jainam Share Consultants Private Limited,0.00
13,14,J M Financial Investment Managers Limited,0.00
