,SNo.,company,amount
0,1,Fm Pbw Bearings Private Limited,"3,400,000.00"
1,2,Global Aviation Services Private Limited,"3,000,000.00"
2,3,Rolex Rings Private Limited,"2,700,000.00"
3,4,Essen Multipack Limited,"1,100,000.00"
4,5,Spectrum Johnson Tiles Private Limited,"900,000.00"
5,6,Balaji Multiflex Private Limited,"900,000.00"
6,7,Patel Infrastructure Private Limited,"700,000.00"
7,8,Mangal Keshav Securities Limited,"500,000.00"
8,9,Tessitura Monti India Private Limited,"400,000.00"
9,10,National Bulk Handling Corporation Private Limited,"400,000.00"
10,11,Small Johnson Floor Tiles Private Limited,"200,000.00"
11,12,Phoenix Projects Private Limited,"200,000.00"
12,13,Essen Speciality Films Private Limited,"100,000.00"
13,14,Dalal And Broacha Stock Broking Private Limited,0.00
14,15,Orbit Bearings (India) Pvt. Ltd.,0.00
15,16,Fishfa Rubbers Limited,0.00
16,17,Prashant Castings Private Limited,0.00
17,18,Intolcast Pvt Ltd,0.00
18,19,Intricast Private Limited,0.00
19,20,Forge And Forge Private Limited,0.00
20,21,Turbo Bearings Private Limited,0.00
21,22,Rajoo Engineers Limited,0.00
