,SNo.,company,amount
0,1,Transpek-Silox Industry Private Limited,"15,500,000.00"
1,2,Ineos Styrolution India Limited,"12,500,000.00"
2,3,Rishi Fibc Solutions Private Limited,"10,800,000.00"
3,4,Gujarat Road And Infrastructure Company Limited,"7,700,000.00"
4,5,Koch Chemical Technology Group India Private Limited,"7,700,000.00"
5,6,Voltamp Transformers Limited,"6,500,000.00"
6,7,Checkmate Services Private Limited,"5,800,000.00"
7,8,Reliance Nippon Life Insurance Company Limited,"4,400,000.00"
8,9,Panasonic Energy India Company Limited,"4,300,000.00"
9,10,Koshambh Multitred Pvt Ltd,"4,100,000.00"
10,11,Universal Medicap Limited,"4,000,000.00"
11,12,Shakun Polymers Limited,"3,700,000.00"
12,13,Yesha Electricals Private Limited,"2,600,000.00"
13,14,Heubach Colour Private Limited,"2,000,000.00"
14,15,Matrix Comsec Private Limited,"1,900,000.00"
15,16,Rubamin Limited,"1,800,000.00"
16,17,Sodium Metal Pvt Ltd,"1,700,000.00"
17,18,Munjal Auto Industries Limited,"1,700,000.00"
18,19,Standard Radiators Private Limited,"1,700,000.00"
19,20,Solvay Specialities India Private Limited,"1,600,000.00"
20,21,Transpek Industry Limited,"1,500,000.00"
21,22,Shaily Engineering Plastics Limited,"1,500,000.00"
22,23,Darshanam Life Space Private Limited,"1,400,000.00"
23,24,Vijay Tanks And Vessels Private Limited,"1,400,000.00"
24,25,See Linkages Private Limited,"1,300,000.00"
25,26,Sudeep Pharma Private Limited,"1,100,000.00"
26,27,P B M Polytex Limited,"1,000,000.00"
27,28,Haldyn Glass Limited,"600,000.00"
28,29,A G Industries Pvt Ltd,"500,000.00"
29,30,E-Infochips Limited,"500,000.00"
30,31,Patel Infrastructure Private Limited,"500,000.00"
31,32,Veeda Clinical Research Private Limited,"500,000.00"
32,33,Cheviot Agro Industries Private Limited,"500,000.00"
33,34,Kusters Calico Machinery Private Limited,"400,000.00"
34,35,Tourism Finance Corporation Of India Limited,"400,000.00"
35,36,Grand Polycoats Company Private Limited,"400,000.00"
36,37,Farmson Pharmaceutical Gujarat Private Limited,"300,000.00"
37,38,I G Petrochemicals Limited,"300,000.00"
38,39,Saurer Textile Solutions Private Limited,"300,000.00"
39,40,Netafim Irrigation India Private Limited,"300,000.00"
40,41,Lubrizol Advanced Materials India Private Limited,"200,000.00"
41,42,Bharat Resins Private Limited,"200,000.00"
42,43,Amod Stampings Pvt Ltd,"200,000.00"
43,44,Omori India Private Limited,"200,000.00"
44,45,Ami Lifesciences Pvt Ltd,"100,000.00"
45,46,Power Grid Corporation Of India Limited,"100,000.00"
46,47,Spectrum Johnson Tiles Private Limited,"100,000.00"
47,48,Shardul Securities Limited,0.00
48,49,Total Cardio Vascular Solutions Private Limited,0.00
49,50,Whitefield Chemtech Private Limited,0.00
50,51,Simalin Chemical Industriaes Private Limited,0.00
51,52,Atlanta Electricals Private Limited,0.00
52,53,Ankur Scientific Energy Technologies Pvt  Ltd,0.00
53,54,Radiant Hitech Eng. Private Limited,0.00
54,55,Aimil Limited,0.00
55,56,Aventus Estate Developer Private Limited,0.00
56,57,Navdeep Chemicals Private Limited,0.00
