,SNo.,company,amount
0,1,Ram Kripal Singh Construction Private Limited,"3,000,000.00"
1,2,National Insurance Co Ltd,"2,500,000.00"
2,3,Clsa India Private Limited,"1,800,000.00"
3,4,Rodic Consultants Private Limited,"600,000.00"
4,5,Alkem Laboratories Limited,"500,000.00"
5,6,Bridge & Roof Co (India) Ltd,"300,000.00"
6,7,Pensol Industries Limited,"100,000.00"
7,8,Tribhovandas Bhimji Zaveri Limited,0.00
8,9,Sil Investments Limited,0.00
9,10,Inland Power Limited,0.00
10,11,Jharkhand Police Housing Corporation Limited,0.00
