,SNo.,company,amount
0,1,Kumar Organic Products Limited,"3,700,000.00"
1,2,Ace Multi Axes Systems Limited,"1,900,000.00"
2,3,Cisco Systems Capital (India) Private Limited,"1,600,000.00"
3,4,Nexteer Automotive India Private Limited,"1,500,000.00"
4,5,Elliott Ebara Turbomachinery India Private Limited,"1,300,000.00"
5,6,Bhoruka Power Corporation Limited,"1,200,000.00"
6,7,Tricon Infotech Private Limited,"900,000.00"
7,8,Fowler Westrup (India) Private Limited,"500,000.00"
8,9,Triton Valves Limited,"200,000.00"
9,10,Nabard Financial Services Limited,"200,000.00"
10,11,New Silk Route Advisors Private Limited,"100,000.00"
11,12,Exclusive Networks Sales India Private Limited,0.00
