,SNo.,company,amount
0,1,Satish Sugars Limited,"12,000,000.00"
1,2,Polyhydron Private Limited,"2,700,000.00"
2,3,Jinabakul Forge Private Limited,"1,600,000.00"
3,4,Polyhydron Systems Private Limited,"1,300,000.00"
4,5,Vaishnavi Infrastructure Private Limited,"900,000.00"
5,6,Diamond Metal Screens Private Limited,"600,000.00"
6,7,Grameen Koota Financial Services Private  Limited,"600,000.00"
7,8,Akp Ferrocast Private Limited,"100,000.00"
8,9,Belgaum Aqua Valves Private Limited,"100,000.00"
9,10,Apple Hospitals And Research Institute Limited,0.00
10,11,Dhfl Vysya Housing Finance Limited,0.00
11,12,Ashok Iron Works Private Limited,0.00
