,SNo.,company,amount
0,1,Manappuram Finance Limited,"103,800,000.00"
1,2,Kse Limited,"5,200,000.00"
2,3,Cochin Shipyard Limited,"5,000,000.00"
3,4,S M L Finance Limited,"3,600,000.00"
4,5,Maben Nidhi Limited,"2,700,000.00"
5,6,Popular Vehicles And Services Private Limited,"1,200,000.00"
6,7,K.L.F. Nirmal Industries Private Limited,"1,100,000.00"
7,8,Cochin Blue Metal Industries Private Limited,"800,000.00"
8,9,Can Fin Homes Limited,"700,000.00"
9,10,Hil Limited,"300,000.00"
10,11,The South Indian Bank Limited,0.00
11,12,Manappuram Jewellers Limited.,0.00
