,SNo.,company,amount
0,1,Bajaj Holdings & Investment Limited.,"16,000,000.00"
1,2,Aditya Birla Finance Limited,"6,000,000.00"
2,3,Power Grid Corporation Of India Limited,"5,500,000.00"
3,4,Madhya Pradesh Road Development Corporation Limited,"4,900,000.00"
4,5,Multi Commodity Exchange Of India Limited,"3,700,000.00"
5,6,Newgen Software Technologies Limited,"3,400,000.00"
6,7,Omega Renk Bearings Private Limited,"2,900,000.00"
7,8,Aditya Birla Sun Life Insurance Company Limited,"2,600,000.00"
8,9,Wiley India Private Limited.,"2,500,000.00"
9,10,Sagar Manufacturers Private Limited,"2,000,000.00"
10,11,Madhya Pradesh Agro Food Industries Limited,"2,000,000.00"
11,12,Orix Leasing & Financial Services India Limited,"1,800,000.00"
12,13,Jehan Numa Palace Hotel Pvt Ltd,"1,200,000.00"
13,14,Princeton Infrastructure Private Limited,"1,200,000.00"
14,15,Brightstar Infrastructure Private Limited,"600,000.00"
15,16,Nhdc Limited,"300,000.00"
16,17,Can Fin Homes Limited,"200,000.00"
17,18,Shingora Textiles Limited,"100,000.00"
18,19,Krishana Phoschem Limited,"100,000.00"
19,20,Kshema Power And Infrastructure Company Private Limited,"100,000.00"
20,21,Makson Health Care Private Limited,0.00
21,22,D B Malls Private Limited,0.00
22,23,Netlink Software Private Limited,0.00
