,SNo.,company,amount
0,1,Power Grid Corporation Of India Limited,"9,800,000.00"
1,2,Impetus Infotech (India) Private Limited,"7,500,000.00"
2,3,Gruh Finance Limited,"3,500,000.00"
3,4,Kriti Industries (India)Limited,"2,900,000.00"
4,5,Pratibha Syntex Limited,"2,300,000.00"
5,6,Infobeans Technologies Limited,"2,000,000.00"
6,7,Agarwal Transport Corporation Private Limited,"1,500,000.00"
7,8,Sundaram Packaging India Private Limited,"1,000,000.00"
8,9,Kishan Lal Jewels Private Limited,"900,000.00"
9,10,Barbeque-Nation Hospitality Limited,"500,000.00"
10,11,Rajratan Global Wire Limited,"500,000.00"
11,12,Shakti Pumps (India) Limited,"400,000.00"
12,13,Fluidomat Limited,"400,000.00"
13,14,Flavorite Technologies Private Limited,"300,000.00"
14,15,Brightstar Infrastructure Private Limited,"300,000.00"
15,16,Commercial Syn Bags Limited,"100,000.00"
16,17,Indo Thai Securities Limited,"100,000.00"
17,18,Bajrang Agro Industries Private Limited,"100,000.00"
18,19,Chandukaka Saraf And Sons Private Limited,"100,000.00"
19,20,Hind Filters Limited,0.00
20,21,Seattle Power Solutions Private Limited,0.00
21,22,Green Infra Wind Energy Project Limited,0.00
22,23,Agro Phos (India) Limited,0.00
23,24,Enter 10 Television Private Limited,0.00
24,25,Robotronix Engineering Tech Private Limited,0.00
25,26,National Steel And Agro Industries Limited,0.00
26,27,D & H Secheron Electrodes Pvt Ltd,0.00
