,SNo.,company,amount
0,1,Credit Suisse Services (India) Private Limited,"11,200,000.00"
1,2,Gkn Sinter Metals Private Limited,"6,600,000.00"
2,3,Godavari Biorefineries Limited,"6,000,000.00"
3,4,Bajaj Finance Limited,"2,700,000.00"
4,5,Play Games24X7 Private Limited,"2,600,000.00"
5,6,Angel Broking Private Limited,"2,500,000.00"
6,7,Tata Capital Housing Finance Limited,"2,300,000.00"
7,8,Angel Commodities Broking Pvt Ltd,"1,500,000.00"
8,9,Angel Fincap Private Limited,"1,000,000.00"
9,10,Star Chemicals (Bombay) Private Limited,"700,000.00"
10,11,Shri Dutt India Private Limited,"600,000.00"
11,12,Global Aviation Services Private Limited,"500,000.00"
12,13,Dewan Housing Finance Corporation Limited,"400,000.00"
13,14,Uni Klinger Limited,"300,000.00"
14,15,Asian Markets Securities Private Limited,"300,000.00"
15,16,Maritime Services Private Limited,"100,000.00"
16,17,Sim Diam Private Limited,0.00
17,18,Saba Software India Private Limited,0.00
