,SNo.,company,amount
0,1,Hinduja Leyland Finance Limited,"10,000,000.00"
1,2,Menon Bearings Limited,"3,700,000.00"
2,3,S.B. Reshellers Private Limited,"2,000,000.00"
3,4,Vanita Agrochem (India) Private Limited,"900,000.00"
4,5,Power Grid Corporation Of India Limited,"600,000.00"
5,6,Apple Hospitals And Research Institute Limited,"400,000.00"
6,7,Sonai Engineering Private Limited,"300,000.00"
7,8,Beckhoff Automation Private Limited,"200,000.00"
8,9,Indoco Remedies Limited,"100,000.00"
9,10,Tessitura Monti India Private Limited,"100,000.00"
10,11,Spa Holdings Private Limited,0.00
11,12,Saroj Foundry Private Limited,0.00
12,13,Menon Pistons Limited,0.00
13,14,New Melting Centre Private Limited,0.00
