,SNo.,company,amount
0,1,Housing Development Finance Corporation Limited,"100,000,000.00"
1,2,Tata Capital Financial Services Limited,"13,000,000.00"
2,3,Power Grid Corporation Of India Limited,"8,500,000.00"
3,4,Neon Laboratories Limited,"6,900,000.00"
4,5,Dewan Housing Finance Corporation Limited,"5,900,000.00"
5,6,Toyo Engineering India Private Limited,"5,200,000.00"
6,7,India Infoline Finance Limited,"5,000,000.00"
7,8,Il&Fs; Securities Services Limited,"2,300,000.00"
8,9,Ivp Ltd,"2,200,000.00"
9,10,Aym Syntex Limited,"1,200,000.00"
10,11,Khemani Distilleries Private Limited,"1,200,000.00"
11,12,Black & Veatch Private Limited,"1,000,000.00"
12,13,General Mills India Private Limited,"1,000,000.00"
13,14,Gp Petroleums Limited,"600,000.00"
14,15,Ginza Industries Ltd.,"500,000.00"
15,16,Ambit Capital Private Limited,"400,000.00"
16,17,Rubamin Limited,"300,000.00"
17,18,Galaxy Surfactants Ltd,"200,000.00"
18,19,Kusters Calico Machinery Private Limited,"200,000.00"
19,20,Tema India Limited,"200,000.00"
20,21,Orient Press Limited,"100,000.00"
