,SNo.,company,amount
0,1,Nomura Financial Advisory And Securities  (India) Private Limited,"12,300,000.00"
1,2,Dhl Logistics Private Limited,"7,500,000.00"
2,3,Uti Asset Management Company Limited,"7,300,000.00"
3,4,Mahyco Monsanto Biotech (India) Private Limited,"3,500,000.00"
4,5,Lona Industries Limited,"3,500,000.00"
5,6,Alkem Laboratories Limited,"2,600,000.00"
6,7,Dboi Global Services Private Limited,"2,500,000.00"
7,8,Shree Hari Chemicals Export Limited,"1,700,000.00"
8,9,Apcotex Industries Limited,"1,400,000.00"
9,10,Innovassynth Technologies (India ) Limited,"1,000,000.00"
10,11,Parekh Integrated Services Private Limited,"500,000.00"
11,12,Ameya Logistics Private Limited,"100,000.00"
12,13,Forever Living Imports (India) Private Limited,"100,000.00"
13,14,Savita Polymers Limited,"100,000.00"
14,15,Ajwani Infrastructure Private Limited,0.00
15,16,Kemtec India Photographic Co Pvt Ltd,0.00
