,SNo.,company,amount
0,1,Dcb Bank Limited,"3,300,000.00"
1,2,Gadre Marine Export Pvt Ltd,"2,000,000.00"
2,3,Power Grid Corporation Of India Limited,"1,600,000.00"
3,4,Gulf Oil Lubricants India Limited,"1,300,000.00"
4,5,Vanaz Engineers Limited,"1,200,000.00"
5,6,Alicon Castalloy Limited,"400,000.00"
6,7,Johnson Controls (India) Private Limited,"400,000.00"
7,8,Excel Industries Limited,"100,000.00"
8,9,Tj Marine Products Private Limited,"100,000.00"
9,10,Naik Seafoods Private Limited,0.00
10,11,Trimurti Fabricators Private Limited,0.00
11,12,Rage Frameworks India Private Limited,0.00
12,13,Kesar Petroproducts Limited,0.00
