,SNo.,company,amount
0,1,Lic Housing Finance Ltd,"26,700,000.00"
1,2,Jolly Board Limited,"3,100,000.00"
2,3,Poddar Tyres Limited,"1,700,000.00"
3,4,Endemol India Private Limited,"1,500,000.00"
4,5,Danfoss Power Solutions India Private Limited,"800,000.00"
5,6,Idbi Bank Limited,"500,000.00"
6,7,Mahabal Metals Private Limited,"300,000.00"
7,8,Renew Wind Energy (Mp Two) Private Limited,"200,000.00"
8,9,Naik Seafoods Private Limited,0.00
9,10,Makson Nutrition Food India Private Limited,0.00
10,11,Mahabal Auto Ancillaries Private Limited,0.00
