,Maharashtra
Ahmednagar,39300000.0
Akola,18600000.0
Amravati,2700000.0
Aurangabad,282100000.0
Beed,14700000.0
Bhandara,13200000.0
Buldhana,1500000.0
Chandrapur,4900000.0
Dhule,2100000.0
Gadchiroli,13500000.0
Gondia,6500000.0
Hingoli,0.0
Jalgaon,12900000.0
Jalna,3900000.0
Kolhapur,18300000.0
Latur,31500000.0
Mumbai City,1423000000.0
Mumbai Suburban,0.0
Nagpur,106300000.0
Nanded,6400000.0
Nandurbar,0.0
Nashik,76700000.0
Osmanabad,7300000.0
Palghar,155900000.0
Parbhani,1800000.0
Pune,972800000.0
Raigad,44100000.0
Ratnagiri,10400000.0
Sangli,34800000.0
Satara,42300000.0
Sindhudurg,3800000.0
Solapur,7000000.0
Thane,182800000.0
Wardha,40100000.0
Washim,0.0
Yavatmal,28300000.0
