,SNo.,company,amount
0,1,Agarwal Industrial Corporation Limited,"900,000.00"
1,2,Agriculture Insurance Company Of India Limited,"700,000.00"
2,3,Suncity Sheets Private Limited,"300,000.00"
3,4,Arcum Engineering Pvt Ltd,"200,000.00"
4,5,Meenakshi Mercantiles Ltd,"100,000.00"
5,6,Chemical And Mineral Industries Pvt Ltd,"100,000.00"
6,7,Kabra Extrusion Technik Ltd,0.00
7,8,Coral India Finance And Housing Limited,0.00
8,9,Metallizing Equipment Company Private Limited,0.00
9,10,Padmawati Art Creation Private Limited,0.00
