,SNo.,company,amount
0,1,Ambika Cotton Mills Limited,"7,600,000.00"
1,2,Equitas Small Finance Bank Limited,"6,700,000.00"
2,3,Sundaram Finance Limited,"5,000,000.00"
3,4,Renold Chain India Private Limited,"1,500,000.00"
4,5,Cholamandalam Ms General Insurance Company Limited,"1,000,000.00"
5,6,Sri Saravana Spinning Mills Private Limited,"400,000.00"
6,7,Equitas Holdings Limited,"300,000.00"
7,8,The Karur Vysya Bank Limited,"100,000.00"
8,9,Sundaram Bnp Paribas Home Finance Limited,"100,000.00"
9,10,Naga Limited,"100,000.00"
10,11,Nabard Financial Services Limited,0.00
