,SNo.,company,amount
0,1,Triumph International (India) Private Limited,"8,200,000.00"
1,2,Valeo Friction Materials India Private Limited,"5,200,000.00"
2,3,Flextronics Technologies (India) Private  Limited,"1,600,000.00"
3,4,Salcomp Manufacturing India Private Limited,"1,600,000.00"
4,5,Ambadi Enterprises Limited,"1,300,000.00"
5,6,Power Grid Corporation Of India Limited,"1,100,000.00"
6,7,Aspire Systems (India) Private Limited,"400,000.00"
7,8,Stahl India Private Limited,"300,000.00"
8,9,Pharmazell (India) Private Limited,"200,000.00"
9,10,Technip India Limited,"100,000.00"
10,11,Somic Zf Components Private Limited,"100,000.00"
11,12,Kone Elevator India Private Limited,0.00
12,13,Mando Automotive India Private Limited,0.00
