,SNo.,company,amount
0,1,Aditya Birla Sun Life Insurance Company Limited,"10,000,000.00"
1,2,Hi Tech Arai Private Limited,"6,600,000.00"
2,3,Lakshmi Vilas Bank Limited,"2,000,000.00"
3,4,Ecgc Limited,"1,100,000.00"
4,5,Sundaram Finance Limited,"1,000,000.00"
5,6,Mepco Industries Limited,"500,000.00"
6,7,Vijay Tanks And Vessels Private Limited,"500,000.00"
7,8,Kotak Mahindra Bank Limited,"300,000.00"
8,9,Matrix India Entertainment Consultants Private Limited,"200,000.00"
9,10,Pandian Chemicals Limited,"200,000.00"
10,11,Grt Jewellers (India) Private Limited,"100,000.00"
11,12,S.M.I.L.E. Microfinance Limited,"100,000.00"
12,13,Abhilash Chemicals And Pharmaceuticals Private Limited,0.00
