,SNo.,company,amount
0,1,Ultramarine & Pigments Limited,"6,700,000.00"
1,2,Thirumalai Chemicals Limited,"6,000,000.00"
2,3,Abi-Showatech (India) Limited,"5,500,000.00"
3,4,Lic Housing Finance Ltd,"5,000,000.00"
4,5,Althaf Shoes Private Limited,"4,100,000.00"
5,6,Alina Private Limited,"2,600,000.00"
6,7,Same Deutz-Fahr India Private Limited,"2,500,000.00"
7,8,Aspire Systems (India) Private Limited,"1,900,000.00"
8,9,Stahl India Private Limited,"1,100,000.00"
9,10,Sundaram Dynacast Private Limited,"1,000,000.00"
10,11,Sundaram Finance Limited,"700,000.00"
11,12,Sqs India Bfsi Limited,"600,000.00"
12,13,Amrutanjan Health Care Limited,"200,000.00"
13,14,Repco Home Finance Limited,"200,000.00"
14,15,Real Talent Engineering Private Limited,0.00
15,16,Florence Shoe Company Private Limited,0.00
16,17,Good Leather Shoes Private Limited,0.00
