,SNo.,company,amount
0,1,Nuziveedu Seeds Limited,"20,000,000.00"
1,2,Microsoft Global Services Center (India)  Private Limited,"17,200,000.00"
2,3,Heritage Foods Limited,"13,800,000.00"
3,4,Hyderabad Race Club,"12,500,000.00"
4,5,Bharat Biotech International Limited,"10,000,000.00"
5,6,Power Grid Corporation Of India Limited,"7,500,000.00"
6,7,Synchrony International Services Private  Limited,"7,400,000.00"
7,8,Sai Life Sciences Limited,"6,900,000.00"
8,9,Astra Micro Wave Products Limited,"6,500,000.00"
9,10,Xilinx India Technology Services Private  Limited,"6,300,000.00"
10,11,L&T; Infrastructure Finance Company Limited,"5,900,000.00"
11,12,Manchukonda Prakasham Industries India Private Limited,"5,700,000.00"
12,13,Broadridge Financial Solutions (India) Private Limited,"5,600,000.00"
13,14,Head Infotech India Pvt Ltd,"4,700,000.00"
14,15,Facebook India Online Services Private Limited,"4,400,000.00"
15,16,D. E. Shaw India Private Limited,"3,500,000.00"
16,17,Pennar Industries Limited,"3,300,000.00"
17,18,Cotiviti India Private Limited,"3,100,000.00"
18,19,Saptagir Camphor Limited,"2,600,000.00"
19,20,Hst Steels Private Limited,"2,500,000.00"
20,21,Salesforce.Com India Private Limited,"2,300,000.00"
21,22,Veljan Denison Limited,"2,300,000.00"
22,23,Arunachala Logistics Private Limited,"2,100,000.00"
23,24,Ces Limited.,"1,900,000.00"
24,25,Pegasystems Worldwide India Private Limited,"1,800,000.00"
25,26,Colruyt It Consultancy India Private Limited,"1,800,000.00"
26,27,Realpage India Private Limited,"1,800,000.00"
27,28,Rockwell Collins (India) Enterprises Private Limited,"1,700,000.00"
28,29,Tata Business Support Services Limited,"1,700,000.00"
29,30,Vimta Labs Limited,"1,600,000.00"
30,31,Kapil Chits (Hyderabad) Private Limited,"1,600,000.00"
31,32,International Paper (India) Private Limited,"1,600,000.00"
32,33,Visaka Industries Ltd.,"1,500,000.00"
33,34,Seaview Developers Private Limited,"1,400,000.00"
34,35,Nxp India Private Limited,"1,300,000.00"
35,36,Sanghi Jewellers Private Limited,"1,300,000.00"
36,37,Shrinath Rotopack Private Limited,"1,300,000.00"
37,38,Shriram City Union Finance Limited,"1,200,000.00"
38,39,Srinivasa Hatcheries Limited,"1,200,000.00"
39,40,Rainbow Children'S Medicare Private Limited,"1,100,000.00"
40,41,Nlmk India Service Center Private Limited,"1,000,000.00"
41,42,Wonderla Holidays Limited,"1,000,000.00"
42,43,Hyderabad International Trade Expositions Limited,"1,000,000.00"
43,44,Link Well Telesystems Pvt Ltd,"1,000,000.00"
44,45,Vijaya Diagnostic Centre Private Limited,"1,000,000.00"
45,46,Vem Technologies Private Limited,"900,000.00"
46,47,Pitti Laminations Limited,"900,000.00"
47,48,Lic Housing Finance Ltd,"800,000.00"
48,49,Sri Krishna Pharmaceuticals Limited,"800,000.00"
49,50,Hil Limited,"700,000.00"
50,51,Hexagon Capability Center India Private Limited,"700,000.00"
51,52,Valens Molecules Private Limited,"600,000.00"
52,53,Dolphin Foods India Limited,"600,000.00"
53,54,Hibu India Private Limited,"600,000.00"
54,55,Manjeera Constructions Ltd,"600,000.00"
55,56,Kotak Mahindra Bank Limited,"500,000.00"
56,57,Pokarna Engineered Stone Limited,"500,000.00"
57,58,Dharti Dredging And Infrastructure Limited,"500,000.00"
58,59,Brilliant Bio Pharma Private Limited,"500,000.00"
59,60,Nile Limited,"500,000.00"
60,61,Pokarna Limited,"500,000.00"
61,62,Virchow Biotech Private Limited,"400,000.00"
62,63,Ramky Enviro Engineers Limited,"400,000.00"
63,64,Fernandez Hospital Private Limited,"400,000.00"
64,65,Kony India Private Limited,"400,000.00"
65,66,Gati Limited,"400,000.00"
66,67,Tanla Solutions Limited,"400,000.00"
67,68,Alphageo (India) Limited,"400,000.00"
68,69,Bevcon Wayors Private Limited,"300,000.00"
69,70,Informatica Business Solutions Private Limited,"300,000.00"
70,71,Alkem Laboratories Limited,"300,000.00"
71,72,Premier Explosives Limited,"300,000.00"
72,73,Quislex Legal Services Private Limited,"200,000.00"
73,74,Aizant Drug Research Solutions Private Limited,"100,000.00"
74,75,Hmshost Services India Private Limited,"100,000.00"
75,76,Deevya Shakti Paper Mills Private Limited,"100,000.00"
76,77,Voith Turbo Private Limited,"100,000.00"
77,78,Nektar Therapeutics (India) Private Limited,0.00
78,79,Chennai Msw Private Limited,0.00
79,80,Asian Institute Of Nephrology And Urology Private Limited,0.00
80,81,Keystone Infra Private Limited,0.00
81,82,Dq Entertainment (International) Limited,0.00
82,83,Unimed Health Care Private Limited,0.00
83,84,Surya Lakshmi Cotton Mills Ltd,0.00
84,85,Paradise Food Court Private Limited,0.00
85,86,Intense Technologies Limited,0.00
86,87,Avantel Limited,0.00
87,88,Zen Technologies Limited,0.00
88,89,Srinivasa Farms Private Limited,0.00
89,90,Growel Formulations Private Limited,0.00
