,SNo.,company,amount
0,1,Indian Energy Exchange Limited,"4,800,000.00"
1,2,Nec Technologies India Private Limited,"3,600,000.00"
2,3,Kei Industries Limited,"2,500,000.00"
3,4,Radisys India Private Limited,"1,800,000.00"
4,5,India Infoline Housing Finance Limited,"1,500,000.00"
5,6,Dmi Finance Private Limited,"1,300,000.00"
6,7,Genuine Stock Brokers Private Limited,"1,000,000.00"
7,8,Taparia Tools Limited,"500,000.00"
8,9,Nimbus India Limited,"500,000.00"
9,10,Motorola Solutions India Private Limited,"400,000.00"
10,11,Shardul Securities Limited,"100,000.00"
11,12,Dee Vee Projects Limited,"100,000.00"
12,13,Pegasus Assets Reconstruction Private Limited,0.00
13,14,The Swastik Safe Deposit And Investments  Ltd,0.00
14,15,Pashupati Capital Services Private Limited,0.00
15,16,Propiedades Realties Private Limited,0.00
16,17,Merlin Holdings Pvt. Ltd.,0.00
