,SNo.,company,amount
0,1,Power Grid Corporation Of India Limited,"107,000,000.00"
1,2,Petronet Lng Limited,"15,600,000.00"
2,3,V I P Industries Limited,"9,200,000.00"
3,4,Utkarsh Micro Finance Limited,"7,000,000.00"
4,5,The Peerless General Finance & Investment Co Ltd,"3,400,000.00"
5,6,Orient Bell Limited,"1,900,000.00"
6,7,Idbi Bank Limited,"1,500,000.00"
7,8,Obeetee Private Limited,"1,400,000.00"
8,9,Brindavan Agro Industries Private Limited Trs From Up To Delhi,"1,000,000.00"
9,10,Vibhuti Investments Company Limited,"1,000,000.00"
10,11,Rnt Plantations Limited,"1,000,000.00"
11,12,Ecgc Limited,"700,000.00"
12,13,Rec Transmission Projects Company Limited,"700,000.00"
13,14,Dgp Securities Limited,0.00
14,15,Renew Wind Energy (Rajasthan One) Private Limited,0.00
15,16,Aadhar Housing Finance Limited,0.00
16,17,Indian Renewable Energy Development Agen Cy Limited,0.00
17,18,Dr. Lal Pathlabs Limited,0.00
18,19,Can Fin Homes Limited,0.00
