,SNo.,company,amount
0,1,Skf India Limited,"10,300,000.00"
1,2,Usha Breco Limited,"4,400,000.00"
2,3,Mountain Valley Springs India Private Limited,"3,500,000.00"
3,4,A G Industries Pvt Ltd,"1,600,000.00"
4,5,Technip India Limited,"1,600,000.00"
5,6,Bic-Cello Exports Private Limited,"1,600,000.00"
6,7,D2S Infrastructures Private Limited,"1,600,000.00"
7,8,Super Auto India Limited,"1,000,000.00"
8,9,Rishi Fibc Solutions Private Limited,"500,000.00"
9,10,Lt Foods Limited,"500,000.00"
10,11,Hero Corporate Service Private Limited,"500,000.00"
11,12,Power Grid Corporation Of India Limited,"400,000.00"
12,13,Pilani Investment And Industries Corporation Limited,"300,000.00"
13,14,Munjal Showa Limited,"100,000.00"
14,15,Seftech India Private Limited,"100,000.00"
15,16,Amd Industries Limited,"100,000.00"
16,17,Shivam Autotech Limited,0.00
17,18,Bajaj Motors Limited,0.00
