,SNo.,company,amount
0,1,Cesc Ltd,"159,500,000.00"
1,2,Bandhan Bank Limited,"42,100,000.00"
2,3,Firstsource Solutions Limited,"29,300,000.00"
3,4,Srei Infrastructure Finance Limited,"23,000,000.00"
4,5,Srei Equipment Finance Limited,"21,800,000.00"
5,6,Vedant Fashions Private Limited,"20,100,000.00"
6,7,Zandu Realty Limited,"16,800,000.00"
7,8,Patton International Ltd,"12,500,000.00"
8,9,P.C.Chandra & Sons (India) Private Limited,"11,500,000.00"
9,10,Russell Credit Ltd,"11,100,000.00"
10,11,Hil Limited,"10,000,000.00"
11,12,Banik Rubber Industries (India) Private Limited,"10,000,000.00"
12,13,J G Hosiery Private Limited,"8,800,000.00"
13,14,Pricewaterhousecoopers Service Delivery Center (Kolkata) Private Limited,"8,300,000.00"
14,15,Dollar Industries Limited,"8,100,000.00"
15,16,Alkem Laboratories Limited,"8,100,000.00"
16,17,Jms Mining Services Private Limited,"7,800,000.00"
17,18,Lux Industries Limited,"7,800,000.00"
18,19,Tata Aig General Insurance Company Limited,"7,500,000.00"
19,20,Madhu Jayanti International Private Limited,"7,000,000.00"
20,21,Tmf Holdings Limited,"5,800,000.00"
21,22,La Opala R G Limited,"5,800,000.00"
22,23,Bengal Nri Complex Ltd.,"5,800,000.00"
23,24,Saregama India Limited,"5,700,000.00"
24,25,Surya Vidyut Limited,"5,500,000.00"
25,26,Adventz Finance Private Limited,"5,100,000.00"
26,27,Magma Fincorp Limited,"5,000,000.00"
27,28,Bmw Industries Limited,"5,000,000.00"
28,29,Merino Panel Products Ltd,"4,900,000.00"
29,30,Balajee Education Private Limited,"4,600,000.00"
30,31,Vikram Solar Limited,"4,600,000.00"
31,32,Crescent Power Limited,"4,600,000.00"
32,33,Second Vivekananda Bridge Tollway Company Private Limited,"4,500,000.00"
33,34,Dhunseri Tea & Industries Limited,"4,300,000.00"
34,35,Kpmg Global Services Private Limited,"4,200,000.00"
35,36,Meenakshi Mercantiles Ltd,"4,100,000.00"
36,37,Ipm Commodities Private Limited,"3,900,000.00"
37,38,Haldia Energy Limited,"3,700,000.00"
38,39,Emami Paper Mills Limited,"3,400,000.00"
39,40,Pressman Advertising Limited,"3,400,000.00"
40,41,Bma Stainless Limited,"3,400,000.00"
41,42,Experis It Private Limited,"3,300,000.00"
42,43,Albert David Ltd,"3,100,000.00"
43,44,Tarsons Products Pvtltd,"3,100,000.00"
44,45,Inland Power Limited,"3,000,000.00"
45,46,H C Commercial Ltd,"3,000,000.00"
46,47,Bajaj Finance Limited,"3,000,000.00"
47,48,Shyam Ferro Alloys Ltd.,"3,000,000.00"
48,49,Bharat Containers (Nagpur) Pvt Ltd,"2,800,000.00"
49,50,Pn Memorial Neuro Centre & Research Institute Limited,"2,700,000.00"
50,51,Joy Global (India) Limited,"2,500,000.00"
51,52,Aditya Birla Finance Limited,"2,500,000.00"
52,53,Khadim India Limited,"2,300,000.00"
53,54,Disha Eye Hospitals Private Limited,"2,200,000.00"
54,55,Ritika Private Limited,"2,000,000.00"
55,56,Dhunseri Investments Limited,"2,000,000.00"
56,57,Koppern Maco Services Private Limited,"2,000,000.00"
57,58,The Peerless General Finance & Investment Co Ltd,"1,900,000.00"
58,59,Abdos Lamitubes Private Limited,"1,900,000.00"
59,60,East India Commodites Private Limited,"1,900,000.00"
60,61,Pilani Investment And Industries Corporation Limited,"1,900,000.00"
61,62,Acclaris Business Solutions Private Limited,"1,900,000.00"
62,63,Rsh Global Private Limited,"1,900,000.00"
63,64,The Punjab Produce & Trading Co. Pvt. Ltd.,"1,800,000.00"
64,65,Mangalam Fashions Limited,"1,700,000.00"
65,66,Woodside Fashions Limited,"1,700,000.00"
66,67,S G S India Private Limited,"1,700,000.00"
67,68,Mitsubishi Corporation India Private Limited,"1,700,000.00"
68,69,Central India Industries Ltd.,"1,600,000.00"
69,70,Manaksia Limited,"1,600,000.00"
70,71,Jekay International Track Pvt. Ltd.,"1,600,000.00"
71,72,Ebell Fashions Private Limited,"1,500,000.00"
72,73,Vinayak Dealer Pvt Ltd,"1,500,000.00"
73,74,R.V. Investment And Dealers Ltd,"1,500,000.00"
74,75,Mitsui And Co India Private Limited,"1,500,000.00"
75,76,East India Securities Ltd,"1,500,000.00"
76,77,Vardhan Ltd.,"1,400,000.00"
77,78,J Thomas & Co Pvt Ltd,"1,400,000.00"
78,79,Badulipar Ltd,"1,300,000.00"
79,80,Turtle Limited,"1,300,000.00"
