,Unnamed: 0,Unnamed: 0.1,name,CIN,NIC,amount
0,2268,2268,Shamyak Investment Private Limited,,,103600000
1,1101,1101,Il&Fs; Financial Services Limited,,,62000000
2,750,750,Equitas Small Finance Bank Limited,,,61900000
3,2412,2412,Standard Chartered Global Business Services Private Limited,,,59500000
4,55,55,Aditya Birla Sun Life Insurance Company Limited,,,32300000
5,1393,1393,L&T; Infrastructure Finance Company Limited,,,32000000
6,1390,1390,L&T; Finance Limited,,,18400000
7,1126,1126,Indian Renewable Energy Development Agen Cy Limited,,,17200000
8,1582,1582,Microsoft Global Services Center (India)  Private Limited,,,17200000
9,933,933,Grameen Koota Financial Services Private  Limited,,,15600000
10,2590,2590,Tmf Holdings Limited,,,15000000
11,1751,1751,Nomura Financial Advisory And Securities  (India) Private Limited,,,14900000
12,1286,1286,Kalyani Carpenter Special Steels Private  Limited,,,14600000
13,1362,1362,Kotak Mahindra Old Mutual Life Insurance  Limited,,,12000000
14,817,817,Flextronics Technologies (India) Private  Limited,,,10800000
15,1391,1391,L&T; Housing Finance Limited,,,10500000
16,1998,1998,Qube Cinema Technologies Private Limited,,,8700000
17,525,525,Computer Age Management Services Private  Limited,,,8700000
18,283,283,B.L. Agro Industries Limited,,,7700000
19,2486,2486,Synchrony International Services Private  Limited,,,7400000
20,2794,2794,Xilinx India Technology Services Private  Limited,,,6300000
21,2212,2212,Sasken Technologies Limited,,,6000000
22,1392,1392,L&T; Infra Debt Fund Limited,,,6000000
23,2413,2413,Standard Chartered Investments And Loans  (India) Limited,,,5000000
24,481,481,Chevron Phillips Chemicals India Private  Limited,,,4800000
25,2716,2716,Vibracoustic India Private Limited,,,4700000
26,1104,1104,Il&Fs; Tamil Nadu Power Company Limited,,,4700000
27,141,141,Ambit Private Limited,,,4200000
28,2580,2580,Theni Guru Krishna Textile Mills Private  Limited,,,4000000
29,1389,1389,L&T; Finance Holdings Limited,,,3500000
30,2584,2584,Tieto India Private Limited,,,3500000
31,1646,1646,Msl Driveline Systems Limited,,,3400000
32,542,542,Cotiviti India Private Limited,,,3100000
33,2346,2346,Sml Films Limited,,,3000000
34,452,452,Ceinsys Tech Limited,,,2900000
35,921,921,Goodluck India Limited,,,2800000
36,367,367,Bic-Cello Exports Private Limited,,,2600000
37,1102,1102,Il&Fs; Securities Services Limited,,,2300000
