,Unnamed: 0,Unnamed: 0.1,name,CIN,NIC,amount
0,2067,2067,Reliance Infrastructure Limited,L99999MH1929PLC001530,99.0,321600000
1,2268,2268,Shamyak Investment Private Limited,,,103600000
2,250,250,Au Small Finance Bank Limited,L36911RJ1996PLC011381,,62400000
3,1101,1101,Il&Fs; Financial Services Limited,,,62000000
4,750,750,Equitas Small Finance Bank Limited,,,61900000
5,2412,2412,Standard Chartered Global Business Services Private Limited,,,59500000
6,2802,2802,Yardi Software India Private Limited,U72900PN2004PTC019711,,41600000
7,550,550,Credit Suisse Services (India) Private Limited,U93090PN2006PTC133169,,32500000
8,55,55,Aditya Birla Sun Life Insurance Company Limited,,,32300000
9,1393,1393,L&T; Infrastructure Finance Company Limited,,,32000000
10,96,96,Ajeet Seeds Private Limited,U01100MH1986PTC039814,,31200000
11,2754,2754,Volkswagen India Private Limited,U70102PN2007FTC133117,,27900000
12,1915,1915,Pnb Housing Finance Limited,U65922DL1988PLC033856,64.0,26100000
13,1745,1745,Nj Indiainvest Private Limited,U67120GJ2000PTC037674,66.0,21000000
14,1242,1242,Jm Financial Asset Reconstruction Company Limited,U67190MH2007PLC174287,,20500000
15,2699,2699,Vedant Fashions Private Limited,U51311WB2002PTC094677,,20100000
16,112,112,Alkem Laboratories Limited,U00305MH1973PLC174201,0.0,20100000
17,1454,1454,M3 Investment Private Limited,U65993GJ2005PTC045417,,20000000
18,615,615,Deutsche Investments India Private Limited,U65923MH2005PTC153486,,19100000
19,1390,1390,L&T; Finance Limited,,,18400000
20,1752,1752,Nomura Fixed Income Securities Private Limited,U65910MH2007PTC168237,,17400000
21,1582,1582,Microsoft Global Services Center (India)  Private Limited,,,17200000
22,1126,1126,Indian Renewable Energy Development Agen Cy Limited,,,17200000
23,1365,1365,Kpmg Global Services Private Limited,U74140HR2010PTC041413,,15900000
24,933,933,Grameen Koota Financial Services Private  Limited,,,15600000
25,953,953,Grt Jewellers (India) Private Limited,U27310TN1992PTC023070,,15300000
26,2590,2590,Tmf Holdings Limited,,,15000000
27,586,586,Dboi Global Services Private Limited,U72900MH2005PTC158278,72.0,15000000
28,1751,1751,Nomura Financial Advisory And Securities  (India) Private Limited,,,14900000
29,1286,1286,Kalyani Carpenter Special Steels Private  Limited,,,14600000
30,1787,1787,Oerlikon Balzers Coating India Private Limited,U28920MH1993PTC074820,,13700000
31,483,483,Chimique (India) Limited,U02005HR2013PLC050150,,13300000
32,1362,1362,Kotak Mahindra Old Mutual Life Insurance  Limited,,,12000000
33,2215,2215,Satish Sugars Limited,U15421KA2000PLC026920,,12000000
34,1023,1023,Hewlett Packard Financial Services (India) Private Ltd,U65910KA2001PTC080236,,11700000
35,500,500,Cisco Systems Capital (India) Private Limited,U70200KA2004PTC034849,,11600000
36,854,854,Gagandeep Credit Capital Private Limited,U65990MH1993PTC073769,,11100000
37,1264,1264,Jyoti Ceramic Industries Private Limited,U99999MH1973PTC016635,,11000000
38,817,817,Flextronics Technologies (India) Private  Limited,,,10800000
39,1311,1311,Keihin Fie Private Limited,U74999PN1999PTC013837,,10600000
40,1391,1391,L&T; Housing Finance Limited,,,10500000
41,321,321,Barclays Securities (India) Private Limited,U67120MH2006PTC161063,,10400000
42,1750,1750,Nomura Capital (India) Private Limited,U67190MH2009FTC194618,,10100000
43,316,316,Banik Rubber Industries (India) Private Limited,U25190WB2011PTC166511,,10000000
44,1201,1201,J. P. Morgan Advisors India Private Limited,U67190MH1996FTC100606,,9800000
45,1559,1559,Meridian Chem-Bond Private Limited,U24110MH1997PTC107919,,9000000
46,1107,1107,Impetus Infotech (India) Private Limited,U72100MP2000PTC014455,,9000000
47,1998,1998,Qube Cinema Technologies Private Limited,,,8700000
48,1968,1968,Pricewaterhousecoopers Service Delivery Center (Kolkata) Private Limited,U72200WB2010PTC142115,,8700000
49,1599,1599,Minix Holdings Private Limited,U65990GJ1999PTC035944,,8700000
50,525,525,Computer Age Management Services Private  Limited,,,8700000
51,809,809,Fiserv India Private Limited,U72900DL2002PTC115630,,8400000
52,2621,2621,Triumph International (India) Private Limited,U18101TN2002PTC048626,,8200000
53,1359,1359,Koso India Private Limited,U31200MH2004PTC146735,,8100000
54,1179,1179,Intertek India Private Limited,U74220DL1997PTC202243,,8100000
55,2013,2013,Radiant Corporation Private Limited,U31300TG1976PTC002083,,8000000
56,628,628,Dhariyal Polymers Pvt Ltd,U17119GJ1994PTC022398,,7900000
57,2075,2075,Remfry And Sagar Consultants Pvt.Ltd.,U74110DL2000PTC108445,,7900000
58,756,756,Esdee Paints Limited,U24222MH1979PLC021670,,7900000
59,1448,1448,M K Agrotech Private Limited,U01514KA1995PTC018144,,7700000
60,283,283,B.L. Agro Industries Limited,,,7700000
61,1783,1783,Ocean Interiors Private Limited,U45401TN2004PTC052450,,7500000
62,2365,2365,Sophos Technologies Private Limited,U72200GJ2006PTC047857,,7500000
63,1795,1795,Omega Healthcare Management Services Private Limited,U85110KA2003PTC032846,,7500000
64,634,634,Dhl Logistics Private Limited,U63090MH1996PTC099340,,7500000
