,0
Power Grid Corporation Of India Limited,630000000
Northern Coalfields Limited,359700000
Reliance Infrastructure Limited,321600000
Axis Bank Limited,225100000
Jammu And Kashmir Bank Limited,218600000
Numaligarh Refinery Ltd,185500000
Bajaj Allianz Life Insurance Company Limited,169000000
Cesc Ltd,165000000
Persistent Systems Limited,160800000
Thdc India Limited,156000000
Agriculture Insurance Company Of India Limited,139500000
Sundaram Finance Limited,109400000
Bajaj Finance Limited,109000000
Manappuram Finance Limited,103800000
Shamyak Investment Private Limited,103600000
Housing Development Finance Corporation Limited,100000000
Cholamandalam Investment And Finance Company Limited,99000000
Bajaj Allianz General Insurance Company Limited,81600000
Hdfc Bank Limited,71000000
Robert Bosch Engineering And Business Solutions Private Limited,69300000
Au Small Finance Bank Limited,62400000
Rural Electrification Corporation Limited,62200000
Bajaj Holdings & Investment Limited.,62100000
Il&Fs; Financial Services Limited,62000000
Equitas Small Finance Bank Limited,61900000
Kitex Garments Limited,61100000
Dhariwal Industries Private Limited,60000000
Standard Chartered Global Business Services Private Limited,59500000
Icici Home Finance Company Limited,59500000
Hdfc Standard Life Insurance Company Limited,59300000
Aditya Birla Finance Limited,55800000
Nhdc Limited,55500000
Lic Housing Finance Ltd,54300000
Citicorp Finance (India) Limited,52500000
India Infoline Finance Limited,50200000
Jindal Power Limited,47400000
Jm Financial Products Limited,47000000
Shriram City Union Finance Limited,43200000
Bandhan Bank Limited,42100000
Yardi Software India Private Limited,41600000
Bharat Coking Coal Limited,41000000
Indian Railway Finance Corporation Limited,39100000
Cochin Shipyard Limited,38900000
The Supreme Industries Limited,38500000
Aravali Power Company Private Limited,36500000
Cholamandalam Ms General Insurance Company Limited,35500000
Ecgc Limited,35000000
The New India Assurance Company Limited,33400000
Mahindra And Mahindra Financial Services Limited,33200000
E-Infochips Limited,32600000
Credit Suisse Services (India) Private Limited,32500000
Aditya Birla Sun Life Insurance Company Limited,32300000
L&T; Infrastructure Finance Company Limited,32000000
Ajeet Seeds Private Limited,31200000
Hdb Financial Services Limited,31200000
Dewan Housing Finance Corporation Limited,31000000
Skf India Limited,30900000
The Oriental Insurance Company Limited,29400000
Firstsource Solutions Limited,29300000
Tata Capital Housing Finance Limited,28600000
Volkswagen India Private Limited,27900000
Kitex Childrenswear Limited,26900000
Rbl Bank Limited,26900000
Accelya Kale Solutions Limited,26800000
Bses Rajdhani Power Limited,26700000
Vidarbha Industries Power Limited,26400000
Bachhraj And Company Private Limited,26200000
Gujarat State Financial Services Ltd,26100000
Pnb Housing Finance Limited,26100000
Kalyani Steels Ltd,26000000
Jm Financial Credit Solutions Limited,25600000
Reliance Ventures Limited,25300000
Noida Power Company Limited,25200000
Jsw Cement Limited,24800000
Petronet Lng Limited,24700000
Can Fin Homes Limited,24100000
Lubrizol India Private Limited,23800000
Tata Capital Financial Services Limited,23600000
Srei Infrastructure Finance Limited,23000000
Sbi Dfhi Limited,22700000
Srei Equipment Finance Limited,22600000
A K M Systems Private Limited,22500000
Edelweiss Financial Services Limited,22100000
Ppn Power Generating Company Private Limited,22000000
Multi Commodity Exchange Of India Limited,21500000
Capital First Limited,21200000
Nj Indiainvest Private Limited,21000000
Wapcos Limited,20800000
Jm Financial Asset Reconstruction Company Limited,20500000
Reliance Home Finance Limited,20500000
Symphony Limited,20500000
Alkem Laboratories Limited,20100000
Vedant Fashions Private Limited,20100000
Kotak Mahindra Prime Limited,20000000
M3 Investment Private Limited,20000000
Nuziveedu Seeds Limited,20000000
