,CIN,name_x,name_y
0,L01132AS1977PLC001706,WARREN TEA LIMITED,Warren Tea Limited
1,L01132WB1900PLC000292,JOONKTOLLEE TEA AND INDUSTRIES LIMITED,Joonktollee Tea & Industries Ltd.
2,L01132WB1918PLC003029,NAGA DHUNSERI GROUP LTD.,Naga Dhunseri Group Ltd.
3,L01409WB1982PLC034590,IFB AGRO INDUSTRIES LTD.,Ifb Agro Industries Ltd.
4,L02411KA1988PLC009465,VIVIMED LABS LIMITED,Bs & B Safety Systems (India) Limited
5,L02411KA1988PLC009465,VIVIMED LABS LIMITED,Vivimed Labs Limited
6,L03210TZ1985PLC001535,SALZER ELECTRONICS LIMITED,Salzer Electronics Limited
7,L14101KA1989PLC062041,PACIFIC INDUSTRIES LIMITED,Pacific Industries Limited
8,L14101MH1945PLC256122,ASSOCIATED STONE INDUSTRIES (KOTAH) LIMITED,Associated Stone Industries (Kotah) Limited
9,L14101UP1977PLC021546,ORIENT BELL LIMITED,Orient Bell Limited
10,L14102TG1991PLC013299,POKARNA LIMITED,Pokarna Limited
11,L15142GJ1992PLC018745,GOKUL REFOILS AND SOLVENT LIMITED,Gokul Refoils And Solvent Limited
12,L15142TN1986PLC012780,AVT NATURAL PRODUCTS LIMITED,Avt Natural Products Limited
13,L15142WB1974PLC029184,MINT INVESTMENTS LTD,Mint Investments Ltd
14,L15209TG1992PLC014332,HERITAGE FOODS LIMITED,Heritage Foods Limited
15,L15311DL1993PLC052624,DFM FOODS LIMITED,Dfm Foods Limited
16,L15314TN1961PLC004674,KLRF LIMITED,Klrf Limited
17,L15422TN1996PLC037200,PONNI SUGARS (ERODE) LIMITED,Ponni Sugars (Erode) Limited
18,L15491WB1945PLC012771,JAY SHREE TEA AND INDUSTRIES LIMITED,Jay Shree Tea And Industries Limited
19,L15491WB1997PLC082808,DHUNSERI INVESTMENTS LIMITED,Dhunseri Investments Limited
20,L15494RJ1992PLC016617,AJANTA SOYA LIMITED (TRANSFER FROM DELHI TO RAJASTHAN),Ajanta Soya Limited (Transfer From Delhi  To Rajasthan)
21,L17111GJ1979PLC003463,GARDEN SILK MILLS LIMITED,Garden Silk Mills Limited
22,L17111GJ2003PLC043354,CIL NOVA PETROCHEMICALS LIMITED,Cil Nova Petrochemicals Limited
23,L17111HP1982PLC016465,DEEPAK SPINNERS LTD,Deepak Spinners Ltd
24,L17111PB1962PLC002463,VARDHMAN HOLDINGS LIMITED,Vardhman Holdings Limited
25,L17111RJ1992PLC006987,NITIN SPINNERS LIMITED,Nitin Spinners Limited
26,L17111TN1946PLC003270,VTM LIMITED,Vtm Limited
27,L17111TZ1973PLC000675,SAMBANDAM SPINNING MILLS LIMITED,Sambandam Spinning Mills Limited
28,L17111TZ1981PLC001109,SUPER SALES INDIA LIMITED,Super Sales India Limited
29,L17115HP1980PLC005647,WINSOME TEXTILE INDUSTRIES LIMITED,Winsome Textile Industries Limited
30,L17115PB1988PLC008820,NAHAR POLY FILMS LIMITED,Nahar Poly Films Limited
31,L17118RJ1984PLC003173,SANGAM (INDIA) LIMITED,Sangam (India) Limited
32,L17119GJ1945PLC000214,SURAT TEXTILE MILLS LIMITED,Surat Textile Mills Limited
33,L17119GJ1992PLC018073,BETEX INDIA LIMITED (CO TR FROM MAHA ),Betex India Limited (Co Tr From Maha )
34,L17120AP1962PLC000923,SURYA LAKSHMI COTTON MILLS LTD,Surya Lakshmi Cotton Mills Ltd
35,L17120DN1994PLC000387,EMMBI INDUSTRIES LIMITED,Emmbi Industries Limited
36,L17120MH1933PLC002031,MODERN INDIA LIMITED,Modern India Limited
37,L17122DL1989PLC035050,SPORTKING INDIA LIMITED,Sportking India Limited
38,L17239GJ1985PLC007829,SHRI JAGDAMBA POLYMERS LIMITED,Shri Jagdamba Polymers Limited
39,L17299WB1993PLC058969,DOLLAR INDUSTRIES LIMITED,Dollar Industries Limited
40,L17301RJ1934PLC002761,SIL INVESTMENTS LIMITED,Sil Investments Limited
41,L17309WB1995PLC073053,LUX INDUSTRIES LIMITED,Lux Industries Limited
42,L18101DL1978PLC009241,T T LIMITED,T T Limited
43,L18101RJ1992PLC006952,MAYUR UNIQUOTERS LIMITED,Mayur Uniquoters Limited
44,L18101WB1989PLC046387,NAGREEKA EXPORTS LIMITED,Nagreeka Exports Ltd.
45,L18209TG1985PLC005581,SANGHI INDUSTRIES LIMITED,Sanghi Industries Limited
46,L20103WB1980PLC032872,GPT INFRAPROJECTS LIMITED,Gpt Infraprojects Limited
47,L21010MH1992PLC069527,METROGLOBAL LIMITED,Metroglobal Limited
48,L21011OR1936PLC000117,ORIENT PAPER AND INDUSTRIES LTD.,Orient Paper And Industries Ltd.
49,L21012MH1964PLC013058,PUDUMJEE PULP AND PAPER MILLS LIMITED,Pudumjee Pulp And Paper Mills Limited
50,L21012PB1997PLC035243,KUANTUM PAPERS LIMITED,Kuantum Papers Limited
51,L21015RJ1973PLC015819,APM INDUSTRIES LIMITED,Apm Industries Limited
52,L21019WB1981PLC034161,EMAMI PAPER MILLS LIMITED,Emami Paper Mills Limited
53,L21098UP2012PLC048300,GENUS PAPER & BOARDS LIMITED,Genus Paper & Boards Limited
54,L21300WB1973PLC028854,INTERNATIONAL CONVEYORS LTD.,International Conveyors Ltd.
55,L22122TN1970PLC005795,MPS LIMITED,Mps Limited
56,L22213WB1946PLC014346,SAREGAMA INDIA LIMITED,Saregama India Limited
57,L22219MH1987PLC042083,ORIENT PRESS LIMITED,Orient Press Limited
58,L22219MH1991PLC059800,CONTROL PRINT LIMITED,Control Print Limited
59,L23109GA1967PLC000076,GOA CARBON LIMITED,Goa Carbon Limited
60,L23201MH1983PLC030372,GP PETROLEUMS LIMITED,Gp Petroleums Limited
61,L23205GJ1965PLC001343,TRANSPEK INDUSTRY LIMITED,Transpek Industry Limited
62,L24100MH1960PLC011681,DAI-ICHI KARKARIA LIMITED,Dai-Ichi Karkaria Limited
63,L24100MH1972PLC016149,THIRUMALAI CHEMICALS LIMITED,Thirumalai Chemicals Limited
64,L24100MH1985PLC036547,BHARAT AGRI FERT & REALTY LIMITED,Bharat Agri Fert & Realty Limited
65,L24110AP1981PLC003077,SREE RAYALASEEMA ALKALIES AND ALLIED CHEMICALS LTD,Sree Rayalaseema Alkalies And Allied Chemicals Ltd
66,L24110AP2005PLC045726,SREE RAYALASEEMA HI-STRENGTH HYPO LIMITED,Sree Rayalaseema Hi-Strength Hypo Limited
67,L24110GJ1969PLC001590,THEMIS MEDICARE LIMITED,Themis Medicare Limited
68,L24110GJ1989PLC012441,AKSHARCHEM (INDIA ) LIMITED,Aksharchem (India ) Limited
69,L24110MH1973PLC016247,UNIVERSAL STARCH CHEM ALLIED LIMITED,Universal Starch Chem Allied Limited
